Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10511,A6306-44-003,142585.0,005,永樂里,63000060,大同區,63000,臺北市
10512,A6307-06-007,60156.0,004,新起里,63000070,萬華區,63000,臺北市
10511,A6306-44-002,175307.0,005,永樂里,63000060,大同區,63000,臺北市
10512,A6307-06-006,138666.0,004,新起里,63000070,萬華區,63000,臺北市
10511,A6306-44-004,152887.0,005,永樂里,63000060,大同區,63000,臺北市
10512,A6307-06-008,119083.0,004,新起里,63000070,萬華區,63000,臺北市
10512,A6307-06-003,152665.0,004,新起里,63000070,萬華區,63000,臺北市
10512,A6307-06-002,103177.0,003,西門里,63000070,萬華區,63000,臺北市
10511,A6306-44-001,109695.0,005,永樂里,63000060,大同區,63000,臺北市
10512,A6307-06-005,58327.0,004,新起里,63000070,萬華區,63000,臺北市
10512,A6307-06-004,250759.0,004,新起里,63000070,萬華區,63000,臺北市
10510,A6308-48-003,0.0,026,明興里,63000080,文山區,63000,臺北市
10512,A6307-06-001,7073.0,003,西門里,63000070,萬華區,63000,臺北市
10511,A6306-44-006,0.0,003,建功里,63000060,大同區,63000,臺北市
10511,A6306-44-009,25159.0,001,玉泉里,63000060,大同區,63000,臺北市
10509,A6305-45-002,231463.0,006,頂東里,63000050,中正區,63000,臺北市
10509,A6305-45-001,45513.0,008,板溪里,63000050,中正區,63000,臺北市
10509,A6305-45-004,56469.0,006,頂東里,63000050,中正區,63000,臺北市
10509,A6305-45-003,95270.0,006,頂東里,63000050,中正區,63000,臺北市
10508,A6307-49-001,190606.0,021,新安里,63000070,萬華區,63000,臺北市
10508,A6307-49-004,19407.0,030,壽德里,63000070,萬華區,63000,臺北市
10508,A6307-49-005,155902.0,030,壽德里,63000070,萬華區,63000,臺北市
10508,A6307-49-002,111709.0,021,新安里,63000070,萬華區,63000,臺北市
10508,A6307-49-003,54683.0,034,忠貞里,63000070,萬華區,63000,臺北市
10508,A6307-49-008,35004.0,034,忠貞里,63000070,萬華區,63000,臺北市
10508,A6307-49-007,143548.0,030,壽德里,63000070,萬華區,63000,臺北市
10508,A6308-28-005,140777.0,004,景慶里,63000080,文山區,63000,臺北市
10511,A6301-18-003,179290.0,003,東榮里,63000010,松山區,63000,臺北市
10508,A6308-28-004,276964.0,005,景仁里,63000080,文山區,63000,臺北市
10510,A6301-35-008,98359.0,026,中正里,63000010,松山區,63000,臺北市
10508,A6308-28-003,98003.0,005,景仁里,63000080,文山區,63000,臺北市
10510,A6301-35-007,194951.0,026,中正里,63000010,松山區,63000,臺北市
10508,A6308-28-002,96592.0,005,景仁里,63000080,文山區,63000,臺北市
10510,A6301-35-006,76643.0,026,中正里,63000010,松山區,63000,臺北市
10511,A6301-18-007,123852.0,003,東榮里,63000010,松山區,63000,臺北市
10508,A6308-28-008,157217.0,004,景慶里,63000080,文山區,63000,臺北市
10511,A6301-18-006,415032.0,003,東榮里,63000010,松山區,63000,臺北市
10508,A6308-28-007,110458.0,005,景仁里,63000080,文山區,63000,臺北市
10511,A6301-18-008,118735.0,003,東榮里,63000010,松山區,63000,臺北市
10510,A6301-35-001,367970.0,035,松基里,63000010,松山區,63000,臺北市
10510,A6301-35-005,10582.0,026,中正里,63000010,松山區,63000,臺北市
10510,A6301-35-004,147074.0,026,中正里,63000010,松山區,63000,臺北市
10510,A6301-35-003,113096.0,026,中正里,63000010,松山區,63000,臺北市
10511,A6301-18-001,243802.0,003,東榮里,63000010,松山區,63000,臺北市
10510,A6301-35-002,7765.0,035,松基里,63000010,松山區,63000,臺北市
10509,A6312-68-004,117.0,014,吉慶里,63000120,北投區,63000,臺北市
10510,A6309-27-007,72171.0,016,舊莊里,63000090,南港區,63000,臺北市
10511,A6311-80-010,139303.0,010,前港里,63000110,士林區,63000,臺北市
10510,A6309-27-008,39165.0,016,舊莊里,63000090,南港區,63000,臺北市
10512,A6306-27-001,75120.0,009,大有里,63000060,大同區,63000,臺北市
10510,A6309-27-003,187470.0,017,中研里,63000090,南港區,63000,臺北市
10510,A6309-27-005,212160.0,016,舊莊里,63000090,南港區,63000,臺北市
10510,A6309-27-006,110834.0,016,舊莊里,63000090,南港區,63000,臺北市
10511,A6307-23-005,38544.0,017,綠堤里,63000070,萬華區,63000,臺北市
10512,A6306-27-006,101075.0,009,大有里,63000060,大同區,63000,臺北市
10511,A6307-23-004,226429.0,017,綠堤里,63000070,萬華區,63000,臺北市
10512,A6306-27-007,24607.0,009,大有里,63000060,大同區,63000,臺北市
10510,A6309-27-001,285289.0,017,中研里,63000090,南港區,63000,臺北市
10511,A6307-23-003,68443.0,017,綠堤里,63000070,萬華區,63000,臺北市
10510,A6309-27-002,106033.0,017,中研里,63000090,南港區,63000,臺北市
10511,A6307-23-002,141358.0,017,綠堤里,63000070,萬華區,63000,臺北市
10511,A6307-23-001,159226.0,015,糖蔀里,63000070,萬華區,63000,臺北市
10512,A6306-27-002,135000.0,009,大有里,63000060,大同區,63000,臺北市
10512,A6306-27-003,75984.0,009,大有里,63000060,大同區,63000,臺北市
