Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10509,A6609-03-001,154308.0,016,西湳里,66000090,豐原區,66000,臺中市
10511,A6602-10-004,191244.0,030,東英里,66000020,東區,66000,臺中市
10511,A6602-10-005,404915.0,030,東英里,66000020,東區,66000,臺中市
10511,A6602-10-002,103451.0,030,東英里,66000020,東區,66000,臺中市
10511,A6602-10-003,70725.0,030,東英里,66000020,東區,66000,臺中市
10511,A6602-10-001,228642.0,030,東英里,66000020,東區,66000,臺中市
10509,A6609-03-009,74540.0,016,西湳里,66000090,豐原區,66000,臺中市
10510,A6604-14-006,130438.0,019,後龍里,66000040,西區,66000,臺中市
10509,A6609-03-008,149248.0,016,西湳里,66000090,豐原區,66000,臺中市
10509,A6609-03-007,77707.0,016,西湳里,66000090,豐原區,66000,臺中市
10510,A6604-14-004,138942.0,015,和龍里,66000040,西區,66000,臺中市
10509,A6609-03-006,119876.0,016,西湳里,66000090,豐原區,66000,臺中市
10509,A6609-03-005,115419.0,016,西湳里,66000090,豐原區,66000,臺中市
10511,A6602-10-008,135536.0,030,東英里,66000020,東區,66000,臺中市
10509,A6609-03-004,83717.0,016,西湳里,66000090,豐原區,66000,臺中市
10509,A6609-03-003,154038.0,016,西湳里,66000090,豐原區,66000,臺中市
10510,A6604-14-008,182197.0,019,後龍里,66000040,西區,66000,臺中市
10511,A6602-10-006,190818.0,030,東英里,66000020,東區,66000,臺中市
10509,A6609-03-002,105448.0,016,西湳里,66000090,豐原區,66000,臺中市
10511,A6602-10-007,178267.0,030,東英里,66000020,東區,66000,臺中市
10509,A6623-02-001,0.0,003,三和里,66000230,烏日區,66000,臺中市
10507,A6603-32-007,112913.0,020,樹義里,66000030,南區,66000,臺中市
10507,A6603-32-008,205100.0,020,樹義里,66000030,南區,66000,臺中市
10510,A6604-14-010,154072.0,019,後龍里,66000040,西區,66000,臺中市
10509,A6623-02-007,0.0,003,三和里,66000230,烏日區,66000,臺中市
10511,A6618-04-003,138307.0,009,上楓里,66000180,大雅區,66000,臺中市
10511,A6618-04-005,85239.0,009,上楓里,66000180,大雅區,66000,臺中市
10511,A6618-04-004,41678.0,009,上楓里,66000180,大雅區,66000,臺中市
10507,A6617-21-007,15072.0,013,聚興里,66000170,潭子區,66000,臺中市
10511,A6618-04-001,6246.0,009,上楓里,66000180,大雅區,66000,臺中市
10507,A6617-21-005,5.0,012,新田里,66000170,潭子區,66000,臺中市
10511,A6618-04-007,90307.0,009,上楓里,66000180,大雅區,66000,臺中市
10511,A6618-04-006,60281.0,009,上楓里,66000180,大雅區,66000,臺中市
10511,A6618-04-009,165373.0,009,上楓里,66000180,大雅區,66000,臺中市
10511,A6618-04-008,95336.0,009,上楓里,66000180,大雅區,66000,臺中市
10512,A6609-06-007,43529.0,033,翁明里,66000090,豐原區,66000,臺中市
10512,A6609-06-002,100.0,015,東湳里,66000090,豐原區,66000,臺中市
10507,A6604-11-004,507255.0,031,中興里,66000040,西區,66000,臺中市
10507,A6604-11-005,171176.0,034,■龍里,66000040,西區,66000,臺中市
10507,A6604-11-002,142944.0,017,民龍里,66000040,西區,66000,臺中市
10507,A6604-11-003,69626.0,031,中興里,66000040,西區,66000,臺中市
10507,A6604-11-001,309510.0,031,中興里,66000040,西區,66000,臺中市
10509,A6607-45-006,104576.0,015,鎮平里,66000070,南屯區,66000,臺中市
10509,A6607-45-007,116749.0,004,中和里,66000070,南屯區,66000,臺中市
10509,A6607-45-008,222517.0,004,中和里,66000070,南屯區,66000,臺中市
10509,A6607-45-003,39731.0,015,鎮平里,66000070,南屯區,66000,臺中市
10511,A6615-20-004,76696.0,006,墩東里,66000150,后里區,66000,臺中市
10511,A6615-20-003,81763.0,009,墩北里,66000150,后里區,66000,臺中市
10512,A0809-03-003,40.0,009,五城村,10008090,魚池鄉,10008,南投縣
10511,A6615-20-002,137491.0,009,墩北里,66000150,后里區,66000,臺中市
10511,A6615-20-001,130365.0,009,墩北里,66000150,后里區,66000,臺中市
10511,A6615-20-008,128162.0,007,墩西里,66000150,后里區,66000,臺中市
10511,A6615-20-007,144508.0,007,墩西里,66000150,后里區,66000,臺中市
10511,A6615-20-006,82749.0,009,墩北里,66000150,后里區,66000,臺中市
10511,A6615-20-005,95768.0,007,墩西里,66000150,后里區,66000,臺中市
10511,A6615-20-009,107565.0,006,墩東里,66000150,后里區,66000,臺中市
10507,A6604-11-008,209389.0,031,中興里,66000040,西區,66000,臺中市
10507,A6604-11-009,123199.0,034,■龍里,66000040,西區,66000,臺中市
10507,A6604-11-006,88510.0,034,■龍里,66000040,西區,66000,臺中市
10507,A6604-11-007,84895.0,034,■龍里,66000040,西區,66000,臺中市
10512,A6627-52-007,2205.0,015,東汴里,66000270,太平區,66000,臺中市
10510,A6608-61-007,185895.0,035,平心里,66000080,北屯區,66000,臺中市
10512,A6627-52-008,0.0,015,東汴里,66000270,太平區,66000,臺中市
10510,A6608-61-008,194028.0,035,平心里,66000080,北屯區,66000,臺中市
10512,A6623-05-010,813591.0,004,榮泉里,66000230,烏日區,66000,臺中市
10508,A6625-06-007,0.0,010,山腳里,66000250,龍井區,66000,臺中市
10508,A6625-06-003,535.0,010,山腳里,66000250,龍井區,66000,臺中市
10512,A6623-05-009,87441.0,004,榮泉里,66000230,烏日區,66000,臺中市
10512,A6623-05-008,14928.0,004,榮泉里,66000230,烏日區,66000,臺中市
10512,A6623-05-007,60338.0,004,榮泉里,66000230,烏日區,66000,臺中市
