Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10603,A6803-22-012,39789.0,001,興和里,68000030,大溪區,68000,桃園市
10603,A6803-22-011,33376.0,001,興和里,68000030,大溪區,68000,桃園市
10603,A6803-22-010,98738.0,001,興和里,68000030,大溪區,68000,桃園市
10605,A6802-A6-010,102101.0,084,林森里,68000020,中壢區,68000,桃園市
10604,A6808-31-006,432.0,013,白鷺里,68000080,八德區,68000,桃園市
10604,A6808-31-009,47576.0,013,白鷺里,68000080,八德區,68000,桃園市
10602,A6805-26-003,91368.0,023,宏竹里,68000050,蘆竹區,68000,桃園市
10603,A6803-22-009,213035.0,001,興和里,68000030,大溪區,68000,桃園市
10603,A6803-22-008,111228.0,001,興和里,68000030,大溪區,68000,桃園市
10602,A6805-26-001,145043.0,006,蘆竹里,68000050,蘆竹區,68000,桃園市
10602,A6805-26-002,77812.0,023,宏竹里,68000050,蘆竹區,68000,桃園市
10603,A6803-22-005,133573.0,002,福仁里,68000030,大溪區,68000,桃園市
10602,A6805-26-005,132326.0,023,宏竹里,68000050,蘆竹區,68000,桃園市
10603,A6803-22-007,73056.0,001,興和里,68000030,大溪區,68000,桃園市
10604,A6811-07-010,25118.0,009,東明里,68000110,新屋區,68000,桃園市
10603,A6803-22-006,176525.0,025,田心里,68000030,大溪區,68000,桃園市
10604,A6808-31-003,5269.0,013,白鷺里,68000080,八德區,68000,桃園市
10605,A6801-01-002,33748.0,010,汴洲里,68000010,桃園區,68000,桃園市
10605,A6801-01-001,37993.0,010,汴洲里,68000010,桃園區,68000,桃園市
10606,A6807-36-009,11879.0,014,山德里,68000070,龜山區,68000,桃園市
10604,A6808-31-010,66789.0,013,白鷺里,68000080,八德區,68000,桃園市
10601,A6808-09-010,102213.0,033,大明里,68000080,八德區,68000,桃園市
10601,A6808-09-011,87765.0,033,大明里,68000080,八德區,68000,桃園市
10602,A6801-81-008,47745.0,054,中路里,68000010,桃園區,68000,桃園市
10602,A6801-81-009,91814.0,054,中路里,68000010,桃園區,68000,桃園市
10603,A6802-43-010,92843.0,036,忠福里,68000020,中壢區,68000,桃園市
10603,A6802-43-008,74110.0,036,忠福里,68000020,中壢區,68000,桃園市
10606,A6806-10-004,246821.0,011,果林里,68000060,大園區,68000,桃園市
10603,A6802-43-009,84990.0,036,忠福里,68000020,中壢區,68000,桃園市
10606,A6806-10-003,81506.0,011,果林里,68000060,大園區,68000,桃園市
10606,A6806-10-006,264759.0,011,果林里,68000060,大園區,68000,桃園市
10606,A6806-10-005,190744.0,011,果林里,68000060,大園區,68000,桃園市
10602,A6801-81-011,38210.0,054,中路里,68000010,桃園區,68000,桃園市
10603,A6802-43-004,89791.0,036,忠福里,68000020,中壢區,68000,桃園市
10606,A6806-10-008,107347.0,011,果林里,68000060,大園區,68000,桃園市
10603,A6802-43-005,123627.0,036,忠福里,68000020,中壢區,68000,桃園市
10606,A6806-10-007,19920.0,011,果林里,68000060,大園區,68000,桃園市
10603,A6802-43-006,25290.0,036,忠福里,68000020,中壢區,68000,桃園市
10603,A6802-43-007,54243.0,036,忠福里,68000020,中壢區,68000,桃園市
10606,A6806-10-009,26783.0,011,果林里,68000060,大園區,68000,桃園市
10605,A6808-14-006,69173.0,047,永豐里,68000080,八德區,68000,桃園市
10604,A6803-05-002,0.0,015,仁義里,68000030,大溪區,68000,桃園市
10605,A6808-14-007,87099.0,011,茄苳里,68000080,八德區,68000,桃園市
10605,A6808-14-004,33863.0,047,永豐里,68000080,八德區,68000,桃園市
10605,A6801-01-008,8729.0,010,汴洲里,68000010,桃園區,68000,桃園市
10602,A6801-81-010,19413.0,054,中路里,68000010,桃園區,68000,桃園市
10605,A6801-01-007,0.0,010,汴洲里,68000010,桃園區,68000,桃園市
10605,A6808-14-002,51912.0,047,永豐里,68000080,八德區,68000,桃園市
10605,A6801-01-006,12130.0,010,汴洲里,68000010,桃園區,68000,桃園市
10605,A6808-14-003,58879.0,011,茄苳里,68000080,八德區,68000,桃園市
10605,A6801-01-005,24710.0,010,汴洲里,68000010,桃園區,68000,桃園市
10605,A6801-01-004,40357.0,010,汴洲里,68000010,桃園區,68000,桃園市
10606,A6806-10-002,85770.0,011,果林里,68000060,大園區,68000,桃園市
10604,A6803-05-004,0.0,015,仁義里,68000030,大溪區,68000,桃園市
10605,A6808-14-001,10283.0,047,永豐里,68000080,八德區,68000,桃園市
10605,A6801-01-003,5175.0,010,汴洲里,68000010,桃園區,68000,桃園市
10606,A6806-10-001,154107.0,011,果林里,68000060,大園區,68000,桃園市
10603,A6802-43-001,6297.0,036,忠福里,68000020,中壢區,68000,桃園市
10603,A6802-43-002,48867.0,036,忠福里,68000020,中壢區,68000,桃園市
10603,A6802-43-003,70914.0,036,忠福里,68000020,中壢區,68000,桃園市
10602,A6812-02-008,88146.0,003,廣興里,68000120,觀音區,68000,桃園市
10602,A6801-81-004,69303.0,052,文中里,68000010,桃園區,68000,桃園市
10603,A6810-45-001,126709.0,011,北貴里,68000100,平鎮區,68000,桃園市
10604,A6811-07-005,145577.0,012,下田里,68000110,新屋區,68000,桃園市
10605,A6802-A6-009,80318.0,025,新興里,68000020,中壢區,68000,桃園市
10602,A6812-02-007,44794.0,003,廣興里,68000120,觀音區,68000,桃園市
10602,A6801-81-005,83647.0,054,中路里,68000010,桃園區,68000,桃園市
10603,A6810-45-002,61714.0,011,北貴里,68000100,平鎮區,68000,桃園市
10604,A6811-07-006,641.0,016,永安里,68000110,新屋區,68000,桃園市
10605,A6802-A6-008,95489.0,025,新興里,68000020,中壢區,68000,桃園市
10602,A6801-81-006,137759.0,054,中路里,68000010,桃園區,68000,桃園市
10604,A6811-07-003,94523.0,012,下田里,68000110,新屋區,68000,桃園市
10602,A6812-02-009,204032.0,001,觀音里,68000120,觀音區,68000,桃園市
10602,A6801-81-007,38152.0,054,中路里,68000010,桃園區,68000,桃園市
10604,A6811-07-004,102998.0,016,永安里,68000110,新屋區,68000,桃園市
10603,A6810-45-005,73476.0,036,北富里,68000100,平鎮區,68000,桃園市
10604,A6811-07-009,112300.0,014,赤欄里,68000110,新屋區,68000,桃園市
10602,A6801-81-001,124811.0,052,文中里,68000010,桃園區,68000,桃園市
10603,A6810-45-006,64123.0,036,北富里,68000100,平鎮區,68000,桃園市
10602,A6801-81-002,34755.0,052,文中里,68000010,桃園區,68000,桃園市
10603,A6810-45-003,17034.0,036,北富里,68000100,平鎮區,68000,桃園市
10604,A6811-07-007,71647.0,012,下田里,68000110,新屋區,68000,桃園市
10602,A6801-81-003,12687.0,052,文中里,68000010,桃園區,68000,桃園市
10603,A6810-45-004,194421.0,036,北富里,68000100,平鎮區,68000,桃園市
10605,A6802-A6-001,153104.0,025,新興里,68000020,中壢區,68000,桃園市
10602,A6812-02-002,42949.0,002,白玉里,68000120,觀音區,68000,桃園市
10603,A6810-45-007,119739.0,036,北富里,68000100,平鎮區,68000,桃園市
10605,A6802-A6-003,83554.0,025,新興里,68000020,中壢區,68000,桃園市
