Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10607,A6710-02-003,80.0,002,二鎮村,67000100,官田區,67000,臺南市
10609,A6728-22-001,72353.0,012,武東村,67000280,歸仁區,67000,臺南市
10607,A6710-02-004,0.0,002,二鎮村,67000100,官田區,67000,臺南市
10609,A6728-22-003,11702.0,012,武東村,67000280,歸仁區,67000,臺南市
10611,A6702-04-002,57241.0,011,岸內里,67000020,鹽水區,67000,臺南市
10607,A6710-02-002,8094.0,002,二鎮村,67000100,官田區,67000,臺南市
10609,A6728-22-002,283157.0,012,武東村,67000280,歸仁區,67000,臺南市
10611,A6702-04-001,50178.0,011,岸內里,67000020,鹽水區,67000,臺南市
10607,A6710-02-005,109735.0,002,二鎮村,67000100,官田區,67000,臺南市
10609,A6735-45-009,67945.0,050,安富里,67000350,安南區,67000,臺南市
10609,A6728-22-009,49398.0,011,大潭村,67000280,歸仁區,67000,臺南市
10611,A6702-04-008,67315.0,001,水秀里,67000020,鹽水區,67000,臺南市
10609,A6728-22-008,213219.0,011,大潭村,67000280,歸仁區,67000,臺南市
10610,A6704-08-003,146071.0,004,東昇村,67000040,柳營區,67000,臺南市
10611,A6702-04-007,99490.0,001,水秀里,67000020,鹽水區,67000,臺南市
10607,A6710-02-009,20010.0,003,湖山村,67000100,官田區,67000,臺南市
10609,A6735-45-007,70462.0,050,安富里,67000350,安南區,67000,臺南市
10611,A6731-18-008,206698.0,003,永康里,67000310,永康區,67000,臺南市
10609,A6735-45-008,64696.0,050,安富里,67000350,安南區,67000,臺南市
10611,A6731-18-009,50549.0,027,龍潭里,67000310,永康區,67000,臺南市
10611,A6702-04-009,194480.0,002,福得里,67000020,鹽水區,67000,臺南市
10609,A6728-22-005,85923.0,012,武東村,67000280,歸仁區,67000,臺南市
10611,A6731-18-006,102155.0,027,龍潭里,67000310,永康區,67000,臺南市
10611,A6702-04-004,88727.0,011,岸內里,67000020,鹽水區,67000,臺南市
10609,A6728-22-004,258922.0,012,武東村,67000280,歸仁區,67000,臺南市
10610,A6704-08-007,48538.0,003,中埕村,67000040,柳營區,67000,臺南市
10611,A6731-18-007,133860.0,004,埔園里,67000310,永康區,67000,臺南市
10611,A6702-04-003,77851.0,011,岸內里,67000020,鹽水區,67000,臺南市
10609,A6728-22-007,87214.0,011,大潭村,67000280,歸仁區,67000,臺南市
10610,A6704-08-004,81681.0,004,東昇村,67000040,柳營區,67000,臺南市
10611,A6731-18-004,57635.0,004,埔園里,67000310,永康區,67000,臺南市
10611,A6702-04-006,76759.0,011,岸內里,67000020,鹽水區,67000,臺南市
10609,A6728-22-006,165853.0,011,大潭村,67000280,歸仁區,67000,臺南市
10610,A6704-08-005,129787.0,004,東昇村,67000040,柳營區,67000,臺南市
10611,A6731-18-005,185667.0,004,埔園里,67000310,永康區,67000,臺南市
10611,A6702-04-005,144078.0,011,岸內里,67000020,鹽水區,67000,臺南市
10609,A6735-45-012,140080.0,050,安富里,67000350,安南區,67000,臺南市
