Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10601,A0701-82-011,32007.0,067,福田里,10007010,彰化市,10007,彰化縣
10601,A0701-82-010,154744.0,066,石牌里,10007010,彰化市,10007,彰化縣
10605,A0706-11-005,369.0,021,同安村,10007060,福興鄉,10007,彰化縣
10604,A0708-15-001,59761.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-004,86668.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-003,36901.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-006,146163.0,002,金墩村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-005,65942.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-008,69932.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-007,55176.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10604,A0708-15-009,47024.0,003,中庄村,10007080,花壇鄉,10007,彰化縣
10605,A0720-10-006,113958.0,023,大永里,10007200,二林鎮,10007,彰化縣
10605,A0720-10-005,126641.0,021,東勢里,10007200,二林鎮,10007,彰化縣
10601,A0704-01-006,154620.0,002,頂庄村,10007040,線西鄉,10007,彰化縣
10605,A0720-10-004,65624.0,025,西斗里,10007200,二林鎮,10007,彰化縣
10605,A0720-10-003,60558.0,025,西斗里,10007200,二林鎮,10007,彰化縣
10605,A0720-10-002,127120.0,023,大永里,10007200,二林鎮,10007,彰化縣
10605,A0720-10-001,73016.0,012,豐田里,10007200,二林鎮,10007,彰化縣
10601,A0704-01-001,680.0,002,頂庄村,10007040,線西鄉,10007,彰化縣
10601,A0701-82-002,11139.0,067,福田里,10007010,彰化市,10007,彰化縣
10601,A0701-82-001,4332.0,067,福田里,10007010,彰化市,10007,彰化縣
10603,A0702-27-002,29344.0,002,中興里,10007020,鹿港鎮,10007,彰化縣
10603,A0702-27-001,122661.0,003,洛津里,10007020,鹿港鎮,10007,彰化縣
10605,A0720-10-009,96347.0,025,西斗里,10007200,二林鎮,10007,彰化縣
10605,A0720-10-008,48185.0,011,後厝里,10007200,二林鎮,10007,彰化縣
10605,A0720-10-007,87647.0,021,東勢里,10007200,二林鎮,10007,彰化縣
10601,A0701-82-009,43738.0,067,福田里,10007010,彰化市,10007,彰化縣
10602,A0701-65-003,28726.0,047,延平里,10007010,彰化市,10007,彰化縣
10604,A0701-02-006,88306.0,058,國聖里,10007010,彰化市,10007,彰化縣
10601,A0701-82-008,64472.0,067,福田里,10007010,彰化市,10007,彰化縣
10604,A0701-02-009,85677.0,059,寶■里,10007010,彰化市,10007,彰化縣
10601,A0701-82-007,22813.0,066,石牌里,10007010,彰化市,10007,彰化縣
10602,A0701-65-005,15199.0,047,延平里,10007010,彰化市,10007,彰化縣
10604,A0701-02-008,84350.0,059,寶■里,10007010,彰化市,10007,彰化縣
10601,A0701-82-005,88393.0,066,石牌里,10007010,彰化市,10007,彰化縣
