Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10504,A9203-06-013,9774.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10504,A9203-06-012,41967.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10503,A9204-01-013,2706.0,001,古寧村,09020040,金寧鄉,09020,金門縣
10504,A9203-06-015,26123.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10504,A9203-06-014,23160.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10504,A9203-06-011,4881.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10504,A9203-06-010,32555.0,007,溪湖里,09020030,金湖鎮,09020,金門縣
10506,A9203-05-009,38192.0,003,正義里,09020030,金湖鎮,09020,金門縣
10506,A9203-05-008,12489.0,003,正義里,09020030,金湖鎮,09020,金門縣
10503,A9204-01-011,16316.0,002,安美村,09020040,金寧鄉,09020,金門縣
10503,A9204-01-012,1865.0,002,安美村,09020040,金寧鄉,09020,金門縣
10505,A9201-10-010,17414.0,005,古城里,09020010,金城鎮,09020,金門縣
10503,A9204-01-010,240.0,001,古寧村,09020040,金寧鄉,09020,金門縣
10506,A9203-05-003,24907.0,005,瓊林里,09020030,金湖鎮,09020,金門縣
10506,A9203-05-002,36121.0,005,瓊林里,09020030,金湖鎮,09020,金門縣
10503,A9201-11-011,117701.0,005,古城里,09020010,金城鎮,09020,金門縣
10506,A9203-05-007,17428.0,003,正義里,09020030,金湖鎮,09020,金門縣
10506,A9203-05-006,76827.0,003,正義里,09020030,金湖鎮,09020,金門縣
10506,A9203-05-005,75594.0,005,瓊林里,09020030,金湖鎮,09020,金門縣
10506,A9203-05-004,65008.0,005,瓊林里,09020030,金湖鎮,09020,金門縣
10503,A9201-11-010,13839.0,005,古城里,09020010,金城鎮,09020,金門縣
10504,A9203-06-017,55895.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10504,A9203-06-016,20728.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10504,A9203-06-018,371.0,008,蓮庵里,09020030,金湖鎮,09020,金門縣
10503,A9204-01-004,6516.0,001,古寧村,09020040,金寧鄉,09020,金門縣
10504,A9203-06-002,25619.0,007,溪湖里,09020030,金湖鎮,09020,金門縣
10505,A9201-10-004,30197.0,008,賢庵里,09020010,金城鎮,09020,金門縣
10503,A9204-01-005,31384.0,001,古寧村,09020040,金寧鄉,09020,金門縣
10504,A9203-06-001,97319.0,002,山外里,09020030,金湖鎮,09020,金門縣
10505,A9201-10-003,43402.0,008,賢庵里,09020010,金城鎮,09020,金門縣
10504,A9203-06-004,67581.0,007,溪湖里,09020030,金湖鎮,09020,金門縣
10505,A9201-10-006,30315.0,005,古城里,09020010,金城鎮,09020,金門縣
10503,A9204-01-003,44082.0,001,古寧村,09020040,金寧鄉,09020,金門縣
10504,A9203-06-003,14454.0,007,溪湖里,09020030,金湖鎮,09020,金門縣
