Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10508,A1505-23-007,65168.0,013,宜昌村,10015050,吉安鄉,10015,花蓮縣
10508,A1505-23-004,5578.0,005,慶豐村,10015050,吉安鄉,10015,花蓮縣
10508,A1505-23-006,27326.0,002,勝安村,10015050,吉安鄉,10015,花蓮縣
10508,A1505-23-005,20363.0,006,吉安村,10015050,吉安鄉,10015,花蓮縣
10509,A1501-38-004,1268.0,037,主權里,10015010,花蓮市,10015,花蓮縣
10509,A1501-38-008,3792.0,014,主農里,10015010,花蓮市,10015,花蓮縣
10507,A1503-12-008,54358.0,006,源城里,10015030,玉里鎮,10015,花蓮縣
10511,A1501-20-015,15077.0,014,主農里,10015010,花蓮市,10015,花蓮縣
10507,A1503-12-002,21464.0,004,泰昌里,10015030,玉里鎮,10015,花蓮縣
10512,A1504-01-001,593.0,001,新城村,10015040,新城鄉,10015,花蓮縣
10507,A1503-12-003,9978.0,001,中城里,10015030,玉里鎮,10015,花蓮縣
10507,A1503-12-001,73054.0,004,泰昌里,10015030,玉里鎮,10015,花蓮縣
10507,A1503-12-006,87210.0,006,源城里,10015030,玉里鎮,10015,花蓮縣
10507,A1503-12-007,229217.0,006,源城里,10015030,玉里鎮,10015,花蓮縣
10507,A1503-12-004,92524.0,006,源城里,10015030,玉里鎮,10015,花蓮縣
10507,A1503-12-005,45910.0,006,源城里,10015030,玉里鎮,10015,花蓮縣
10511,A1501-20-011,54007.0,034,民有里,10015010,花蓮市,10015,花蓮縣
10511,A1501-20-005,15896.0,010,民意里,10015010,花蓮市,10015,花蓮縣
10511,A1509-03-004,719.0,008,奇美村,10015090,瑞穗鄉,10015,花蓮縣
10511,A1501-20-007,39088.0,022,國光里,10015010,花蓮市,10015,花蓮縣
10511,A1509-03-003,42823.0,007,鶴岡村,10015090,瑞穗鄉,10015,花蓮縣
10511,A1501-20-006,36897.0,043,國盛里,10015010,花蓮市,10015,花蓮縣
10511,A1509-03-002,72531.0,007,鶴岡村,10015090,瑞穗鄉,10015,花蓮縣
10512,A1512-03-001,1048.0,001,西林村,10015120,萬榮鄉,10015,花蓮縣
10511,A1509-03-001,5726.0,011,富興村,10015090,瑞穗鄉,10015,花蓮縣
10512,A1504-01-010,102612.0,002,順安村,10015040,新城鄉,10015,花蓮縣
10511,A1506-05-010,122472.0,007,壽豐村,10015060,壽豐鄉,10015,花蓮縣
10511,A1503-07-010,148847.0,008,樂合里,10015030,玉里鎮,10015,花蓮縣
10511,A1506-05-009,64459.0,007,壽豐村,10015060,壽豐鄉,10015,花蓮縣
10511,A1506-05-008,103200.0,007,壽豐村,10015060,壽豐鄉,10015,花蓮縣
10512,A1501-03-011,0.0,045,民孝里,10015010,花蓮市,10015,花蓮縣
10507,A1505-08-007,461.0,005,慶豐村,10015050,吉安鄉,10015,花蓮縣
10511,A1506-05-003,29467.0,008,光榮村,10015060,壽豐鄉,10015,花蓮縣
10512,A1504-01-009,98008.0,002,順安村,10015040,新城鄉,10015,花蓮縣
10511,A1506-05-002,56604.0,008,光榮村,10015060,壽豐鄉,10015,花蓮縣
10511,A1506-05-001,15888.0,008,光榮村,10015060,壽豐鄉,10015,花蓮縣
10512,A1504-01-008,64754.0,002,順安村,10015040,新城鄉,10015,花蓮縣
10511,A1506-05-007,104838.0,007,壽豐村,10015060,壽豐鄉,10015,花蓮縣
10511,A1506-05-006,67230.0,006,共和村,10015060,壽豐鄉,10015,花蓮縣
10512,A1505-18-007,0.0,015,東昌村,10015050,吉安鄉,10015,花蓮縣
10510,A1504-03-010,94008.0,008,大漢村,10015040,新城鄉,10015,花蓮縣
10511,A1506-05-004,53768.0,008,光榮村,10015060,壽豐鄉,10015,花蓮縣
10511,A1503-07-001,78839.0,010,觀音里,10015030,玉里鎮,10015,花蓮縣
10511,A1503-07-002,82364.0,010,觀音里,10015030,玉里鎮,10015,花蓮縣
10510,A1504-03-009,10574.0,008,大漢村,10015040,新城鄉,10015,花蓮縣
10510,A1504-03-007,22274.0,008,大漢村,10015040,新城鄉,10015,花蓮縣
10511,A1503-07-007,40439.0,008,樂合里,10015030,玉里鎮,10015,花蓮縣
10511,A1503-07-008,22338.0,008,樂合里,10015030,玉里鎮,10015,花蓮縣
10511,A1503-07-009,29568.0,008,樂合里,10015030,玉里鎮,10015,花蓮縣
10511,A1503-07-003,73643.0,010,觀音里,10015030,玉里鎮,10015,花蓮縣
10510,A1504-03-001,4922.0,003,康樂村,10015040,新城鄉,10015,花蓮縣
10511,A1503-07-004,13932.0,009,東豐里,10015030,玉里鎮,10015,花蓮縣
10511,A1503-07-005,52530.0,009,東豐里,10015030,玉里鎮,10015,花蓮縣
10511,A1503-07-006,45884.0,009,東豐里,10015030,玉里鎮,10015,花蓮縣
10512,A1506-06-018,43159.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10512,A1506-06-017,183768.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10512,A1506-06-016,55344.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10512,A1506-06-015,31268.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10512,A1506-06-014,110944.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10512,A1506-06-012,72384.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10512,A1506-06-011,45390.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10509,A1501-29-004,92938.0,007,國威里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-005,167940.0,007,國威里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-002,196319.0,007,國威里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-003,4860.0,007,國威里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-008,48924.0,015,國治里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-009,134885.0,015,國治里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-006,188416.0,015,國治里,10015010,花蓮市,10015,花蓮縣
10509,A1501-29-007,217558.0,007,國威里,10015010,花蓮市,10015,花蓮縣
10512,A1506-06-019,149419.0,003,豐山村,10015060,壽豐鄉,10015,花蓮縣
10511,A1505-26-002,94439.0,010,永興村,10015050,吉安鄉,10015,花蓮縣
10511,A1505-26-003,52994.0,011,稻香村,10015050,吉安鄉,10015,花蓮縣
10511,A1505-26-001,91115.0,010,永興村,10015050,吉安鄉,10015,花蓮縣
10511,A1505-26-006,179817.0,010,永興村,10015050,吉安鄉,10015,花蓮縣
10511,A1505-26-007,103967.0,018,光華村,10015050,吉安鄉,10015,花蓮縣
10511,A1505-26-004,41001.0,010,永興村,10015050,吉安鄉,10015,花蓮縣
10511,A1505-26-005,227898.0,010,永興村,10015050,吉安鄉,10015,花蓮縣
10512,A1506-06-021,85276.0,001,樹湖村,10015060,壽豐鄉,10015,花蓮縣
10510,A1507-01-003,40.0,004,大馬村,10015070,光復鄉,10015,花蓮縣
10510,A1507-01-007,48.0,002,大華村,10015070,光復鄉,10015,花蓮縣
10512,A1506-06-002,1490.0,009,池南村,10015060,壽豐鄉,10015,花蓮縣
10508,A1506-02-001,50218.0,009,池南村,10015060,壽豐鄉,10015,花蓮縣
10508,A1506-02-002,176539.0,009,池南村,10015060,壽豐鄉,10015,花蓮縣
