Ym,code1,gen,"cunli code",cunli,"area code",area,"city code",city
10501,A6312-50-003,40,038,關渡里,63000120,北投區,63000,臺北市
10503,A6312-50-003,40,038,關渡里,63000120,北投區,63000,臺北市
10505,A6312-50-003,40,038,關渡里,63000120,北投區,63000,臺北市
10502,A6312-50-003,65443,038,關渡里,63000120,北投區,63000,臺北市
10504,A6312-50-003,77430,038,關渡里,63000120,北投區,63000,臺北市
10506,A6312-50-003,70199,038,關渡里,63000120,北投區,63000,臺北市
10501,A6311-32-002,24798,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-002,25747,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-002,23664,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-39-001,63952,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-001,71027,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-001,67675,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-39-002,125020,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-002,146782,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-002,134488,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-60-001,8532,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-60-001,10676,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-60-001,12165,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-32-005,20130,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-005,24263,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-005,21088,024,富洲里,63000110,士林區,63000,臺北市
10501,A6312-07-011,495,037,一德里,63000120,北投區,63000,臺北市
10503,A6312-07-011,293,037,一德里,63000120,北投區,63000,臺北市
10505,A6312-07-011,465,037,一德里,63000120,北投區,63000,臺北市
10502,A6312-07-011,64177,037,一德里,63000120,北投區,63000,臺北市
10504,A6312-07-011,75755,037,一德里,63000120,北投區,63000,臺北市
10506,A6312-07-011,77391,037,一德里,63000120,北投區,63000,臺北市
10501,A6311-32-004,15089,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-004,17814,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-004,16361,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-39-006,195451,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-006,225680,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-006,204716,024,富洲里,63000110,士林區,63000,臺北市
10506,A6311-39-006,0,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-32-007,21133,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-007,23353,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-007,21567,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-32-001,73735,023,福安里,63000110,士林區,63000,臺北市
10503,A6311-32-001,84390,023,福安里,63000110,士林區,63000,臺北市
10505,A6311-32-001,77513,023,福安里,63000110,士林區,63000,臺北市
10501,A6311-32-009,50692,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-009,56462,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-009,52507,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-32-003,15365,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-003,15130,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-003,15197,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-41-001,29542,023,福安里,63000110,士林區,63000,臺北市
10503,A6311-41-001,28296,023,福安里,63000110,士林區,63000,臺北市
10505,A6311-41-001,28753,023,福安里,63000110,士林區,63000,臺北市
10501,A6311-39-003,10630,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-003,12168,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-003,12572,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-39-007,120971,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-007,142741,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-007,126841,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-39-004,13630,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-004,15441,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-004,14617,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-39-005,54576,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-39-005,60745,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-39-005,56640,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-32-008,37997,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-008,31738,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-008,29865,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-41-003,95235,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-41-003,106203,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-41-003,102549,024,富洲里,63000110,士林區,63000,臺北市
10501,A6312-07-009,0,036,桃源里,63000120,北投區,63000,臺北市
10502,A6312-07-009,122803,036,桃源里,63000120,北投區,63000,臺北市
10504,A6312-07-009,150817,036,桃源里,63000120,北投區,63000,臺北市
10506,A6312-07-009,151694,036,桃源里,63000120,北投區,63000,臺北市
10501,A6311-41-004,62644,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-41-004,67322,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-41-004,66231,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-32-006,409,024,富洲里,63000110,士林區,63000,臺北市
10503,A6311-32-006,573,024,富洲里,63000110,士林區,63000,臺北市
10505,A6311-32-006,696,024,富洲里,63000110,士林區,63000,臺北市
10501,A6311-41-002,135204,023,福安里,63000110,士林區,63000,臺北市
10503,A6311-41-002,145769,023,福安里,63000110,士林區,63000,臺北市
10505,A6311-41-002,135200,023,福安里,63000110,士林區,63000,臺北市
10501,A6311-41-005,219063,023,福安里,63000110,士林區,63000,臺北市
10503,A6311-41-005,223951,023,福安里,63000110,士林區,63000,臺北市
10505,A6311-41-005,236404,023,福安里,63000110,士林區,63000,臺北市
10502,A6311-41-005,80,023,福安里,63000110,士林區,63000,臺北市
10501,A6307-33-005,94156,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-33-005,93763,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-33-005,103698,018,華江里,63000070,萬華區,63000,臺北市
10501,A6311-60-007,66223,023,福安里,63000110,士林區,63000,臺北市
10503,A6311-60-007,65476,023,福安里,63000110,士林區,63000,臺北市
10505,A6311-60-007,72563,023,福安里,63000110,士林區,63000,臺北市
10501,A6307-30-007,105782,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-007,101449,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-007,111265,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-24-007,85335,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-007,89032,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-007,91012,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-30-008,26782,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-008,27971,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-008,28667,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-30-009,69367,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-009,65599,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-009,73849,018,華江里,63000070,萬華區,63000,臺北市
10501,A6312-08-001,0,035,稻香里,63000120,北投區,63000,臺北市
10502,A6312-08-001,93995,035,稻香里,63000120,北投區,63000,臺北市
10503,A6312-08-001,0,035,稻香里,63000120,北投區,63000,臺北市
10504,A6312-08-001,112635,035,稻香里,63000120,北投區,63000,臺北市
10506,A6312-08-001,114304,035,稻香里,63000120,北投區,63000,臺北市
10501,A6307-31-009,70769,017,綠堤里,63000070,萬華區,63000,臺北市
10503,A6307-31-009,71033,017,綠堤里,63000070,萬華區,63000,臺北市
10505,A6307-31-009,75860,017,綠堤里,63000070,萬華區,63000,臺北市
10502,A6307-31-009,77704,017,綠堤里,63000070,萬華區,63000,臺北市
10504,A6307-31-009,88237,017,綠堤里,63000070,萬華區,63000,臺北市
10506,A6307-31-009,102988,017,綠堤里,63000070,萬華區,63000,臺北市
10501,A6307-24-003,162903,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-003,172654,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-003,172943,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-30-003,87642,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-003,90486,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-003,90749,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-30-006,22852,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-006,23698,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-006,23480,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-30-004,108730,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-004,110045,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-004,116388,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-30-001,32640,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-001,31898,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-001,34045,018,華江里,63000070,萬華區,63000,臺北市
10501,A6312-07-006,43422,035,稻香里,63000120,北投區,63000,臺北市
10502,A6312-07-006,37649,035,稻香里,63000120,北投區,63000,臺北市
10503,A6312-07-006,53774,035,稻香里,63000120,北投區,63000,臺北市
10504,A6312-07-006,42894,035,稻香里,63000120,北投區,63000,臺北市
10505,A6312-07-006,51719,035,稻香里,63000120,北投區,63000,臺北市
10506,A6312-07-006,43893,035,稻香里,63000120,北投區,63000,臺北市
10501,A6307-24-005,35117,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-005,35331,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-005,36397,018,華江里,63000070,萬華區,63000,臺北市
10501,A6312-08-002,40,035,稻香里,63000120,北投區,63000,臺北市
10502,A6312-08-002,22500,035,稻香里,63000120,北投區,63000,臺北市
10503,A6312-08-002,40,035,稻香里,63000120,北投區,63000,臺北市
10504,A6312-08-002,26618,035,稻香里,63000120,北投區,63000,臺北市
10505,A6312-08-002,40,035,稻香里,63000120,北投區,63000,臺北市
10506,A6312-08-002,29127,035,稻香里,63000120,北投區,63000,臺北市
10501,A6307-33-008,30705,025,錦德里,63000070,萬華區,63000,臺北市
10502,A6307-33-008,29626,025,錦德里,63000070,萬華區,63000,臺北市
10503,A6307-33-008,33372,025,錦德里,63000070,萬華區,63000,臺北市
10504,A6307-33-008,32959,025,錦德里,63000070,萬華區,63000,臺北市
10505,A6307-33-008,34174,025,錦德里,63000070,萬華區,63000,臺北市
10506,A6307-33-008,37014,025,錦德里,63000070,萬華區,63000,臺北市
10501,A6307-30-005,24808,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-005,21642,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-005,22444,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-24-001,73712,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-001,72978,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-001,77774,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-19-002,71270,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-19-002,73980,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-19-002,76739,018,華江里,63000070,萬華區,63000,臺北市
10502,A6307-19-002,0,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-31-005,88933,017,綠堤里,63000070,萬華區,63000,臺北市
10503,A6307-31-005,87049,017,綠堤里,63000070,萬華區,63000,臺北市
10505,A6307-31-005,97291,017,綠堤里,63000070,萬華區,63000,臺北市
10501,A6312-20-001,5468,034,豐年里,63000120,北投區,63000,臺北市
10502,A6312-20-001,27963,034,豐年里,63000120,北投區,63000,臺北市
10503,A6312-20-001,6177,034,豐年里,63000120,北投區,63000,臺北市
10504,A6312-20-001,33402,034,豐年里,63000120,北投區,63000,臺北市
10505,A6312-20-001,6332,034,豐年里,63000120,北投區,63000,臺北市
10506,A6312-20-001,36595,034,豐年里,63000120,北投區,63000,臺北市
10501,A6307-24-006,69323,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-006,70396,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-006,74261,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-51-004,118838,025,錦德里,63000070,萬華區,63000,臺北市
10503,A6307-51-004,126217,025,錦德里,63000070,萬華區,63000,臺北市
10505,A6307-51-004,127573,025,錦德里,63000070,萬華區,63000,臺北市
10501,A6307-30-002,62316,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-30-002,60153,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-30-002,65507,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-19-007,37401,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-19-007,36946,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-19-007,40204,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-31-006,47795,017,綠堤里,63000070,萬華區,63000,臺北市
10503,A6307-31-006,44580,017,綠堤里,63000070,萬華區,63000,臺北市
10505,A6307-31-006,50286,017,綠堤里,63000070,萬華區,63000,臺北市
10501,A6307-24-002,57865,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-002,58241,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-002,60448,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-19-003,113521,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-19-003,114681,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-19-003,122145,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-51-008,51890,025,錦德里,63000070,萬華區,63000,臺北市
10503,A6307-51-008,57626,025,錦德里,63000070,萬華區,63000,臺北市
10505,A6307-51-008,57151,025,錦德里,63000070,萬華區,63000,臺北市
10501,A6307-17-007,57668,019,柳鄉里,63000070,萬華區,63000,臺北市
10503,A6307-17-007,59107,019,柳鄉里,63000070,萬華區,63000,臺北市
10505,A6307-17-007,64144,019,柳鄉里,63000070,萬華區,63000,臺北市
10501,A6307-31-003,116615,017,綠堤里,63000070,萬華區,63000,臺北市
10503,A6307-31-003,101162,017,綠堤里,63000070,萬華區,63000,臺北市
10505,A6307-31-003,120494,017,綠堤里,63000070,萬華區,63000,臺北市
10501,A6307-51-007,161340,025,錦德里,63000070,萬華區,63000,臺北市
10503,A6307-51-007,177400,025,錦德里,63000070,萬華區,63000,臺北市
10505,A6307-51-007,177245,025,錦德里,63000070,萬華區,63000,臺北市
10502,A6307-51-007,14017,025,錦德里,63000070,萬華區,63000,臺北市
10504,A6307-51-007,17110,025,錦德里,63000070,萬華區,63000,臺北市
10506,A6307-51-007,19649,025,錦德里,63000070,萬華區,63000,臺北市
10501,A6307-51-001,101473,025,錦德里,63000070,萬華區,63000,臺北市
10503,A6307-51-001,106951,025,錦德里,63000070,萬華區,63000,臺北市
10505,A6307-51-001,111575,025,錦德里,63000070,萬華區,63000,臺北市
10501,A6307-24-004,82675,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-24-004,89911,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-24-004,85240,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-33-004,73099,019,柳鄉里,63000070,萬華區,63000,臺北市
10503,A6307-33-004,76357,019,柳鄉里,63000070,萬華區,63000,臺北市
10505,A6307-33-004,84178,019,柳鄉里,63000070,萬華區,63000,臺北市
10502,A6307-33-004,65885,019,柳鄉里,63000070,萬華區,63000,臺北市
10504,A6307-33-004,72874,019,柳鄉里,63000070,萬華區,63000,臺北市
10506,A6307-33-004,94857,019,柳鄉里,63000070,萬華區,63000,臺北市
10501,A6307-31-008,27416,017,綠堤里,63000070,萬華區,63000,臺北市
10503,A6307-31-008,30052,017,綠堤里,63000070,萬華區,63000,臺北市
10505,A6307-31-008,30887,017,綠堤里,63000070,萬華區,63000,臺北市
10501,A6307-19-006,44618,018,華江里,63000070,萬華區,63000,臺北市
10503,A6307-19-006,47379,018,華江里,63000070,萬華區,63000,臺北市
10505,A6307-19-006,48962,018,華江里,63000070,萬華區,63000,臺北市
10501,A6307-17-003,73066,019,柳鄉里,63000070,萬華區,63000,臺北市
10503,A6307-17-003,70441,019,柳鄉里,63000070,萬華區,63000,臺北市
10505,A6307-17-003,76761,019,柳鄉里,63000070,萬華區,63000,臺北市
10501,A6307-23-004,160160,017,綠堤里,63000070,萬華區,63000,臺北市
10503,A6307-23-004,162246,017,綠堤里,63000070,萬華區,63000,臺北市
10505,A6307-23-004,171180,017,綠堤里,63000070,萬華區,63000,臺北市
10506,A6307-23-004,0,017,綠堤里,63000070,萬華區,63000,臺北市
10501,A6307-51-005,26009,025,錦德里,63000070,萬華區,63000,臺北市
10503,A6307-51-005,29220,025,錦德里,63000070,萬華區,63000,臺北市
