項次,單位代號,核准日期,預算科目/名稱,關注民代,補助縣市鄉鎮區,申請補(捐)助單位,統一編號,活動名稱,活動時間(起),活動時間(迄),活動地點,"活動總經額 (千元)","申請補助金額 (千元)","核准補助金額 (千元)",核准理由
11,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理石門區風貌營造計畫—石門區體育館立面美化,aa,aa,aa,aa,aa,3584,促進電力開發，增進地方建設
12,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理石門區風貌營造計畫—富貴角公園前老梅路,aa,aa,aa,aa,aa,2165,促進電力開發，增進地方建設
13,75,aa,aa,aa,魚池鄉,南投縣魚池鄉農會,aa,協助南投縣魚池鄉農會辦理102年度魚池鄉各界慶祝農民節表彰大會計畫,aa,aa,aa,aa,aa,70,配合宣導電力開發，維護傳統習俗
14,75,aa,aa,aa,水里鄉,南投縣水里鄉農會,aa,協助水里鄉農會辦理102年度農民節表彰大會暨電力安全宣導活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，維護傳統習俗
15,75,aa,aa,aa,秀林鄉,花蓮縣秀林鄉立霧溪文化發展協會,aa,協助花蓮縣秀林鄉立霧溪文化發展協會辦理2013花蓮縣秀林鄉崇德部落新春聯誼活動,aa,aa,aa,aa,aa,30,關懷弱勢，提升台電企業形象
16,75,aa,aa,aa,卓蘭鎮,苗栗縣卓蘭鎮公所,aa,協助卓蘭鎮公所辦理2013年植樹節及盆栽DIY活動計畫,aa,aa,aa,aa,aa,60,配合宣導電力開發，提升台電企業形象
17,75,aa,aa,aa,小港區,高雄市小港區鳳林社區發展協會,aa,協助高雄市小港區鳳林社區發展協會辦理地方傳統民俗文化暨鳳林宮清醮祈安祭典活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，維護傳統習俗
18,75,aa,aa,aa,永安區,高雄市永安區公所,aa,協助高雄市永安區公所辦理永安區新港里烏林投社區景觀綠美化工程,aa,aa,aa,aa,aa,22000,促進電力開發，增進地方建設
19,75,aa,aa,aa,永安區,高雄市永安區永華社區發展協會,aa,協助高雄市永安區永華社區發展協會辦理永安宮建宮一五六年慶典文藝活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，維護傳統習俗
20,75,aa,aa,aa,茄萣區,高雄市興達港區漁會,aa,協助高雄市興達港區漁會辦理選聘人員與員工聯誼暨宣導節能活動計畫,aa,aa,aa,aa,aa,40,配合宣導電力開發，提升台電企業形象
21,75,aa,aa,aa,永安區,高雄市永安區公所,aa,協助高雄市永安區公所辦理102年歡慶元宵佳節聯歡晚會活動,aa,aa,aa,aa,aa,270,配合宣導電力開發，維護傳統習俗
22,75,aa,aa,aa,石門區,第一核能發電廠,aa,協助第一核能發電廠辦理「特別助學金關懷菁英學生」迎春送暖關懷活動專案暨電價調整地方溝通宣導,aa,aa,aa,aa,aa,100,關懷弱勢，提升台電企業形象
23,75,aa,aa,aa,石門區,新北市石門區公所,aa,協助新北市石門區公所辦理新北市石門區「幸福石門、寒冬關懷」聯歡活動,aa,aa,aa,aa,aa,80,關懷弱勢，提升台電企業形象
24,75,aa,aa,aa,金山區,新北市金山區公所,aa,協助新北市金山區公所辦理新北市金山區各里聯合慶祝102年度九九重陽敬老活動,aa,aa,aa,aa,aa,200,配合宣導電力開發，維護傳統習俗
25,75,aa,aa,aa,金山區,新北市金山區公所,aa,協助新北市金山區公所辦理新北市金山區102年度藝文展演系列活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，提昇文教品質
26,75,aa,aa,aa,金山區,新北市金山區公所,aa,協助新北市金山區公所辦理新北市金山區『生命守護天使，樂活100』公益研習活動,aa,aa,aa,aa,aa,270,配合宣導電力開發，提升台電企業形象
27,75,aa,aa,aa,金山區,新北市金山地區農會,aa,協助新北市金山地區農會辦理金山、萬里各界102年度慶祝農民節大會,aa,aa,aa,aa,aa,150,配合宣導電力開發，維護傳統習俗
28,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮公所,aa,協助恆春鎮公所辦理恆春鎮龍水里8~12鄰道路改善工程,aa,aa,aa,aa,aa,1500,促進電力開發，增進地方建設
29,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮公所,aa,協助恆春鎮公所辦理恆春鎮山腳里綠美化工程,aa,aa,aa,aa,aa,1000,促進電力開發，增進地方建設
30,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮公所,aa,協助恆春鎮公所辦理恆春鎮四溝里、德和里、山海里道路排水溝改善工程,aa,aa,aa,aa,aa,2000,促進電力開發，增進地方建設
31,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮公所,aa,協助恆春鎮公所辦理恆春鎮鵝鑾里埔頂路道路改善工程,aa,aa,aa,aa,aa,1000,促進電力開發，增進地方建設
32,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮公所,aa,協助恆春鎮公所辦理恆春鎮南灣里社區道路排水溝改善工程,aa,aa,aa,aa,aa,1000,促進電力開發，增進地方建設
33,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮公所,aa,協助恆春鎮公所辦理恆春鎮墾丁里社區道路排水溝改善工程,aa,aa,aa,aa,aa,1000,促進電力開發，增進地方建設
34,75,aa,aa,aa,恆春鎮,屏東縣恆春鎮農會,aa,協助恆春鎮農會辦理「中華民國102年恆春鎮各界慶祝農民節大會」,aa,aa,aa,aa,aa,100,配合宣導電力開發，維護傳統習俗
35,75,aa,aa,aa,苑裡鎮,苗栗縣苑裡鎮田心美食推展協會,aa,協助苗栗縣苑裡鎮田心美食推展協會辦理102年烹飪教室研習暨參觀火力發電廠活動,aa,aa,aa,aa,aa,50,配合宣導電力開發，提昇文教品質
36,75,aa,aa,aa,苑裡鎮,苗栗縣苑裡鎮公所,aa,協助苑裡鎮公所辦理2013『苑裡閩客慶元宵』,aa,aa,aa,aa,aa,100,配合宣導電力開發，維護傳統習俗
37,75,aa,aa,aa,通霄鎮,苗栗縣通霄鎮農會,aa,協助苗栗縣通霄鎮農會辦理102年度農民節表彰大會補助計畫,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
38,75,aa,aa,aa,通霄鎮,苗栗縣通霄青年社會福利慈善關懷協會,aa,協助苗栗縣通霄青年社會福利慈善關懷協會辦理2013青年come議─通霄加力、給e代青年的夢想,aa,aa,aa,aa,aa,80,配合宣導電力開發，提昇文教品質
39,75,aa,aa,aa,龍井區,臺中市立龍津國民中學,aa,協助臺中市立龍津國民中學辦理推展節能教育公播系統設置計畫,aa,aa,aa,aa,aa,180,配合宣導電力開發，提昇文教品質
40,75,aa,aa,aa,龍井區,龍井區農會,aa,協助龍井區農會辦理101年度油菜花田之旅-焢窯活動(註銷),aa,aa,aa,aa,aa,250,促進電力開發，增進產業發展
41,75,aa,aa,aa,大肚區,臺中市大肚區農會,aa,協助大肚區農會辦理大肚區各界慶祝102年度農民節暨節約能源宣導會系列活動,aa,aa,aa,aa,aa,60,配合宣導電力開發，維護傳統習俗
42,75,aa,aa,aa,沙鹿區,臺中市沙鹿區農會,aa,協助沙鹿區農會辦理沙鹿區各界慶祝102年度農民節表彰大會暨節約用電宣導活動,aa,aa,aa,aa,aa,70,配合宣導電力開發，維護傳統習俗
43,75,aa,aa,aa,龍井區,臺中市龍井區農會,aa,協助龍井區農會辦理慶祝102年農民節表彰大會活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
44,75,aa,aa,aa,龍井區,臺中市龍井區公所,aa,協助臺中市龍井區公所辦理102年歲末迎春名家揮毫暨推廣節約能源宣導活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，提昇文教品質
45,75,aa,aa,aa,梧棲區,臺中市梧棲區農會,aa,協助梧棲區農會辦理102年度梧棲區各界慶祝農民節暨節約用電宣導活動計畫,aa,aa,aa,aa,aa,70,配合宣導電力開發，維護傳統習俗
46,75,aa,aa,aa,觀音鄉,桃園縣觀音鄉農會,aa,協助觀音鄉農會辦理102年度觀音鄉各界慶祝農民節大會活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
47,75,aa,aa,aa,新屋鄉,桃園縣新屋鄉公所,aa,協助新屋鄉公所辦理「102年全國客家日─鬧天穿迎新春」活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
48,75,aa,aa,aa,新屋鄉,桃園縣新屋鄉農會,aa,協助桃園縣新屋鄉農會辦理新屋鄉各界慶祝102年度農民節表揚大會暨節約電源宣導活動,aa,aa,aa,aa,aa,60,配合宣導電力開發，維護傳統習俗
49,75,aa,aa,aa,湖西鄉,澎湖縣湖西鄉尖山社區發展協會,aa,協助澎湖縣湖西鄉尖山社區發展協會辦理節約能源宣導暨顯濟殿建醮祈福法會活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，維護傳統習俗
50,75,aa,aa,aa,林口區,新北市林口區農會,aa,協助新北市林口區農會辦理102年度林口區各界慶祝農民節大會及節約電源宣導活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，維護傳統習俗
51,75,aa,aa,aa,貢寮區,龍門施工處,aa,協助龍門施工處辦理「特別助學金關懷菁英學生」年終送暖關懷活動專案,aa,aa,aa,aa,aa,96,關懷弱勢，提升台電企業形象
,,,,,,,,,,,,,,,
1,75,aa,aa,aa,新北市,電源開發處,aa,協助電源開發處辦理新北市『龍門核能發電廠所在區－貢寮區風貌營造計畫』－貢寮國中圍牆及周邊環境改善等台電公司自辦短、中期計12工項之設計監造技術服務費,aa,aa,aa,aa,aa,9494,促進電力開發，增進地方建設
2,75,aa,aa,aa,魚池鄉,南投縣魚池鄉公所,aa,協助魚池鄉公所辦理「騰蛟啟盛、幸福魚池、慶元宵」攻炮城、猜燈謎晚會活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，維護傳統習俗
3,75,aa,aa,aa,和平區,臺中市和平區農會,aa,協助臺中市和平區農會辦理臺中市和平區102年度桶柑暨休閒農業發表活動計畫,aa,aa,aa,aa,aa,80,配合宣導電力開發，提升台電企業形象
4,75,aa,aa,aa,林園區,高雄市林園區農會,aa,協助高雄市林園區農會辦理慶祝102年度農民節表彰大會暨宣導支持台電公司電價調整方案活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，維護傳統習俗
5,75,aa,aa,aa,小港區,高雄市鳳興環保促進會,aa,協助高雄市鳳興環保促進會辦理會員生態研習暨宣導支持台電公司電價調整方案活動,aa,aa,aa,aa,aa,50,配合宣導電力開發，提升台電企業形象
6,75,aa,aa,aa,小港區,高雄市空氣防污維護協會,aa,協助高雄市空氣防污維護協會辦理會員大會暨宣導支持台電公司電價調整方案及大林電廠更新改建計畫活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，提升台電企業形象
7,75,aa,aa,aa,茄萣區,高雄市茄萣社服協會,aa,協助高雄市茄萣社服協會辦理102年度會員親子聯誼暨鄉親節約能源宣導活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，提升台電企業形象
8,75,aa,aa,aa,路竹區,高雄市路竹舢筏協會,aa,協助高雄市路竹舢筏協會辦理第四屆第三次會員大會及節約用電、節約能源、節能減碳宣導活動,aa,aa,aa,aa,aa,60,配合宣導電力開發，提升台電企業形象
9,75,aa,aa,aa,茄萣區,高雄市茄萣婦女工作協會,aa,協助高雄市茄萣婦女工作協會辦理2013品格英語冬令營,aa,aa,aa,aa,aa,80,配合宣導電力開發，提昇文教品質
10,75,aa,aa,aa,永安區,高雄市永安區公所,aa,協助高雄市永安區公所辦理節能減碳宣導暨年終業務檢討活動計畫,aa,aa,aa,aa,aa,180,配合宣導電力開發，提升台電企業形象
11,75,aa,aa,aa,石門區,新北市石門區公所,aa,協助新北市石門區公所辦理各里辦公處102年媽祖遶境祭典活動,aa,aa,aa,aa,aa,270,配合宣導電力開發，維護傳統習俗
12,75,aa,aa,aa,石門區,新北市石門區公所,aa,協助新北市石門區公所辦理102年中元普渡祭典活動,aa,aa,aa,aa,aa,300,配合宣導電力開發，維護傳統習俗
13,75,aa,aa,aa,萬里區,新北市萬里區公所,aa,協助新北市萬里區公所辦理2013新北市野柳神明淨港文化祭,aa,aa,aa,aa,aa,300,配合宣導電力開發，維護傳統習俗
14,75,aa,aa,aa,萬里區,新北市萬里區公所,aa,協助新北市萬里區公所辦理新北市萬里區龜吼里、北基里中秋環保公益晚會活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
15,75,aa,aa,aa,萬里區,新北市萬里區公所,aa,協助新北市萬里區公所辦理新北市萬里區萬里里端午佳節健走活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
16,75,aa,aa,aa,萬里區,新北市萬里區公所,aa,協助新北市萬里區公所辦理新北市萬里區萬里里中秋佳節烤肉活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，維護傳統習俗
17,75,aa,aa,aa,金山區,新北市金山區公所,aa,協助新北市金山區公所辦理新北市金山區「地方民俗慶典媽祖祈安遶境」活動,aa,aa,aa,aa,aa,250,配合宣導電力開發，維護傳統習俗
18,75,aa,aa,aa,滿州鄉,屏東縣滿州鄉公所,aa,協助滿州鄉公所辦理滿州鄉102年度滿載漁歸飛魚季觀光活動,aa,aa,aa,aa,aa,80,促進電力開發，增進產業發展
19,75,aa,aa,aa,基隆市,協和發電廠,aa,協助協和發電廠辦理電價合理化睦鄰溝通座談暨電力宣導活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，提升台電企業形象
20,75,aa,aa,aa,基隆市,基隆市外木山民俗文化觀光協會,aa,協助基隆市外木山民俗文化觀光協會辦理協安宮春節中南部進香活動,aa,aa,aa,aa,aa,150,配合宣導電力開發，維護傳統習俗
21,75,aa,aa,aa,通霄鎮,社團法人中華民國白沙屯媽祖文化發展總會,aa,協助社團法人中華民國白沙屯媽祖文化發展總會辦理白沙屯媽祖文化暨地方農特產美食嘉年華,aa,aa,aa,aa,aa,50,配合宣導電力開發，維護傳統習俗
22,75,aa,aa,aa,苑裡鎮,苗栗縣苑裡鎮南勢社區發展協會,aa,協助苗栗縣苑裡鎮南勢社區發展協會辦理102年度節約能源親子活動暨民壯寮老土地公聖誕慶典活動,aa,aa,aa,aa,aa,50,配合宣導電力開發，維護傳統習俗
23,75,aa,aa,aa,苑裡鎮,苗栗縣苑裡鎮公所,aa,協助苑裡鎮公所辦理苗栗縣苑裡鎮「102全國客家日-歡慶客家、樂活客庄」天穿日活動企劃案,aa,aa,aa,aa,aa,50,配合宣導電力開發，提昇文教品質
24,75,aa,aa,aa,通霄鎮,苗栗縣閩客民俗文化交流協會,aa,協助苗栗縣閩客民俗文化交流協會辦理金蛇入匱財源滾滾活動,aa,aa,aa,aa,aa,250,配合宣導電力開發，維護傳統習俗
25,75,aa,aa,aa,苑裡鎮,苗栗縣苑裡鎮山柑社區發展協會,aa,協助苗栗縣苑裡鎮山柑社區發展協會辦理102年度【全民反毒暨民俗育樂環教宣導活動】,aa,aa,aa,aa,aa,30,配合宣導電力開發，提昇文教品質
26,75,aa,aa,aa,龍井區,台中縣龍井鄉老人會,aa,協助台中縣龍井鄉老人會辦理(一)102年文化觀摩暨宣導節約能源活動及(二)102年健康養生講座及才藝表演暨推廣節約能源活動等二項活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，提升台電企業形象
27,75,aa,aa,aa,龍井區,臺中市龍井身心障礙者協會,aa,協助臺中市龍井身心障礙者協會辦理第十屆第二次會員大會暨支持推廣節能減碳節約用電宣導(※本項協助比例23.53%),aa,aa,aa,aa,aa,40,關懷弱勢，提升台電企業形象
28,75,aa,aa,aa,龍井區,臺中市龍井身心障礙者協會,aa,協助臺中市龍井身心障礙者協會辦理102年身心障礙者接近大自然觀摩暨支持推廣節能減碳節約用電宣導(※本項協助比例34.41%),aa,aa,aa,aa,aa,100,關懷弱勢，提升台電企業形象
29,75,aa,aa,aa,龍井區,臺中市龍井身心障礙者協會,aa,協助臺中市龍井身心障礙者協會辦理卡拉OK歌唱聯歡活動暨支持推廣節能減碳節約用電宣導(※本項協助比例21.05%),aa,aa,aa,aa,aa,20,關懷弱勢，提升台電企業形象
30,75,aa,aa,aa,龍井區,臺中市龍井身心障礙者協會,aa,協助臺中市龍井身心障礙者協會辦理中秋溫情關懷活動暨支持推廣節能減碳節約用電宣導(※本項協助比例26.66%),aa,aa,aa,aa,aa,40,關懷弱勢，提升台電企業形象
31,75,aa,aa,aa,龍井區,臺中市龍井身心障礙者協會,aa,協助臺中市龍井身心障礙者協會辦理感恩晚會暨支持推廣節能減碳節約用電宣導(※本項協助比例32.32%),aa,aa,aa,aa,aa,80,關懷弱勢，提升台電企業形象
32,75,aa,aa,aa,清水區,臺中市清水區公所,aa,協助臺中市清水區公所辦理102年健行活動,aa,aa,aa,aa,aa,90,配合宣導電力開發，提昇文教品質
33,75,aa,aa,aa,龍井區,臺中市龍井區麗水社區發展協會,aa,協助臺中市龍井區麗水社區發展協會辦理102年度元宵節燈謎歌唱聯歡晚會暨支持節約能源政策宣導活動,aa,aa,aa,aa,aa,270,配合宣導電力開發，維護傳統習俗
34,75,aa,aa,aa,口湖鄉,雲林縣口湖鄉公所,aa,協助口湖鄉公所辦理新春聯誼暨電力建設宣導計畫,aa,aa,aa,aa,aa,100,配合宣導電力開發，提升台電企業形象
35,75,aa,aa,aa,竹南鎮,苗栗縣竹南輦轎傳承文化協會,aa,協助苗栗縣竹南輦轎傳承文化協會辦理2013龍鳳藝術季系列活動-守護地球健康村活動,aa,aa,aa,aa,aa,500,配合宣導電力開發，提升台電企業形象
36,75,aa,aa,aa,貢寮區、雙溪區,財團法人肝病防治學術基金會,aa,協助財團法人肝病防治學術基金會辦理台電與您肝膽相照─辦理雙溪、貢寮地區肝病篩檢暨電力宣導活動,aa,aa,aa,aa,aa,1500,配合宣導電力開發，提升台電企業形象
37,75,aa,aa,aa,0,0,aa,合計,aa,aa,aa,aa,aa,15254,0
,,,,,,,,,,,,,,,
1,75,aa,aa,aa,基隆市中山區,基隆市中山區公所,aa,協助基隆市中山區公所102年度發電年度協助金,aa,aa,aa,aa,aa,32254,促進電力開發，協助公共建設及增進地方福祉
2,75,aa,aa,aa,基隆市安樂區,基隆市安樂區公所,aa,協助基隆市安樂區公所102年度發電年度協助金,aa,aa,aa,aa,aa,12902,促進電力開發，協助公共建設及增進地方福祉
3,75,aa,aa,aa,林口區,林口區公所,aa,協助林口區公所102年度發電年度協助金(林口發電廠新增改建),aa,aa,aa,aa,aa,48000,促進電力開發，協助公共建設及增進地方福祉
4,75,aa,aa,aa,八里區,八里區公所,aa,協助八里區公所102年度發電年度協助金(林口發電廠新增改建),aa,aa,aa,aa,aa,14400,促進電力開發，協助公共建設及增進地方福祉
5,75,aa,aa,aa,蘆竹鄉,蘆竹鄉公所,aa,協助蘆竹鄉公所102年度發電年度協助金(林口發電廠新增改建),aa,aa,aa,aa,aa,19200,促進電力開發，協助公共建設及增進地方福祉
6,75,aa,aa,aa,蘆竹鄉,蘆竹鄉公所,aa,協助蘆竹鄉公所102年度發電年度協助金,aa,aa,aa,aa,aa,6099,促進電力開發，協助公共建設及增進地方福祉
7,75,aa,aa,aa,大園鄉,大園鄉公所,aa,協助大園鄉公所102年度發電年度協助金,aa,aa,aa,aa,aa,4709,促進電力開發，協助公共建設及增進地方福祉
8,75,aa,aa,aa,大園鄉,大園鄉公所,aa,協助大園鄉公所102年度發電年度協助金(林口發電廠新增改建),aa,aa,aa,aa,aa,14400,促進電力開發，協助公共建設及增進地方福祉
9,75,aa,aa,aa,基隆市七堵區,基隆市七堵區公所,aa,協助基隆市七堵區公所102年度發電年度協助金,aa,aa,aa,aa,aa,3870,促進電力開發，協助公共建設及增進地方福祉
10,75,aa,aa,aa,基隆市中正區,基隆市中正區公所,aa,協助基隆市中正區公所102年度發電年度協助金,aa,aa,aa,aa,aa,3870,促進電力開發，協助公共建設及增進地方福祉
11,75,aa,aa,aa,基隆市仁愛區,基隆市仁愛區公所,aa,協助基隆市仁愛區公所102年度發電年度協助金,aa,aa,aa,aa,aa,3870,促進電力開發，協助公共建設及增進地方福祉
12,75,aa,aa,aa,基隆市信義區,基隆市信義區公所,aa,協助基隆市信義區公所102年度發電年度協助金,aa,aa,aa,aa,aa,3870,促進電力開發，協助公共建設及增進地方福祉
13,75,aa,aa,aa,基隆市暖暖區,基隆市暖暖區公所,aa,協助基隆市暖暖區公所102年度發電年度協助金,aa,aa,aa,aa,aa,3870,促進電力開發，協助公共建設及增進地方福祉
14,75,aa,aa,aa,三星鄉,三星鄉公所,aa,協助三星鄉公所102年度發電年度協助金,aa,aa,aa,aa,aa,1000,促進電力開發，協助公共建設及增進地方福祉
15,75,aa,aa,aa,大同鄉,大同鄉公所,aa,協助大同鄉公所102年度發電年度協助金,aa,aa,aa,aa,aa,1000,促進電力開發，協助公共建設及增進地方福祉
16,75,aa,aa,aa,魚池鄉,南投縣魚池鄉農會,aa,協助南投縣魚池鄉農會辦理102年度筊白筍栽培─放養烏鰡魚防治福壽危害計畫,aa,aa,aa,aa,aa,70,促進電力開發，增進產業發展
17,75,aa,aa,aa,秀林鄉,花蓮縣秀林鄉富世社區發展協會,aa,協助花蓮縣秀林鄉富世社區發展協會辦理2013花蓮縣秀林鄉富世村村校聯合運動大會,aa,aa,aa,aa,aa,30,配合宣導電力開發，提昇文教品質
18,75,aa,aa,aa,秀林鄉,東部發電廠,aa,協助東部發電廠辦理花蓮縣秀林鄉富世村村民黃曉鈺急難救助協助金,aa,aa,aa,aa,aa,30,關懷弱勢，提升台電企業形象
19,75,aa,aa,aa,南澳鄉,宜蘭縣南澳鄉公所,aa,協助宜蘭縣南澳鄉公所辦理碧候國民小學一百零二年度發展原住民特色運動-足球項目實施計畫,aa,aa,aa,aa,aa,50,配合宣導電力開發，提昇文教品質
20,75,aa,aa,aa,卓蘭鎮,苗栗縣卓蘭鎮公所,aa,協助苗栗縣卓蘭鎮公所辦理2013卓蘭水果季宣傳促銷暨展售活動,aa,aa,aa,aa,aa,200,促進電力開發，增進產業發展
21,75,aa,aa,aa,小港區,高雄市小港區鳳源社區發展協會,aa,協助高雄市小港區鳳源社區發展協會辦理幹部志工工作研習觀摩暨宣導支持台電公司電價調整方案及支持大林發電廠更新改建計畫活動,aa,aa,aa,aa,aa,70,配合宣導電力開發，提升台電企業形象
22,75,aa,aa,aa,永安區,高雄市永安區新港國民小學,aa,協助高雄市永安區新港國民小學辦理新港國小四十二週年校慶暨親子運動會,aa,aa,aa,aa,aa,80,配合宣導電力開發，提昇文教品質
23,75,aa,aa,aa,彌陀區,高雄市彌陀安樂松柏長青會,aa,協助高雄市彌陀安樂松柏長青會辦理102年地方產業文化觀摩活動,aa,aa,aa,aa,aa,45,配合宣導電力開發，提升台電企業形象
24,75,aa,aa,aa,彌陀區,高雄市彌陀老人福利協進會,aa,協助高雄市彌陀老人福利協進會辦理102年度地方產業文化觀摩聯誼活動,aa,aa,aa,aa,aa,45,配合宣導電力開發，提升台電企業形象
25,75,aa,aa,aa,彌陀區,高雄市彌陀區農會,aa,協助高雄市彌陀區農會辦理102年農民節擴大慶祝大會暨電力建設宣導活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，維護傳統習俗
26,75,aa,aa,aa,路竹區,高雄市路竹區農會,aa,協助高雄市路竹區農會辦理102年度農民節慶祝大會暨電力建設宣導活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，維護傳統習俗
27,75,aa,aa,aa,茄萣區,興達發電廠,aa,協助興達發電廠辦理102年度茄萣區「單親、弱勢家庭子女課後戶外教學計畫」,aa,aa,aa,aa,aa,118,關懷弱勢，提升台電企業形象
28,75,aa,aa,aa,湖內區,高雄市湖內人文發展協會,aa,協助高雄市湖內人文發展協會辦理「節約能源宣導文化創意-翠映荷塘油畫展示」活動,aa,aa,aa,aa,aa,80,配合宣導電力開發，提昇文教品質
29,75,aa,aa,aa,湖內區,高雄市湖內休閒運動協會,aa,協助高雄市湖內休閒運動協會辦理節能減碳學習之旅,aa,aa,aa,aa,aa,60,配合宣導電力開發，提升台電企業形象
30,75,aa,aa,aa,高雄市,高雄市政府,aa,協助高雄市政府辦理102年度高雄市海洋環境教育推展計畫,aa,aa,aa,aa,aa,200,配合宣導電力開發，提昇文教品質
31,75,aa,aa,aa,高雄市,高雄市政府,aa,協助高雄市政府辦理102年度促進興達港地區海洋遊憩活動發展重型帆船體驗計畫,aa,aa,aa,aa,aa,100,配合宣導電力開發，提昇文教品質
32,75,aa,aa,aa,茄萣區,高雄市茄萣婦女工作協會,aa,協助高雄市茄萣婦女工作協會辦理單親、弱勢家庭子女課後照顧計畫,aa,aa,aa,aa,aa,60,關懷弱勢，提升台電企業形象
33,75,aa,aa,aa,永安區,高雄市永安區永安社區發展協會,aa,協助高雄市永安區永安社區發展協會辦理天后宮「飲水思源、植福啟程」五朝祈安清醮活動,aa,aa,aa,aa,aa,100,配合宣導電力開發，維護傳統習俗
34,75,aa,aa,aa,三芝區,新北市三芝區農會,aa,協助新北市三芝區農會辦理102年度農友研習觀摩訓練計畫,aa,aa,aa,aa,aa,80,促進電力開發，增進產業發展
35,75,aa,aa,aa,金山區,新北市金山區公所,aa,協助新北市金山區公所辦理新北市金山區102年度社福志工教育訓練研習參訪活動,aa,aa,aa,aa,aa,220,配合宣導電力開發，提升台電企業形象
36,75,aa,aa,aa,萬里區,新北市萬里區婦女會,aa,協助新北市萬里區婦女會辦理「關懷弱勢慈善慰問暨社福與核安宣導」活動,aa,aa,aa,aa,aa,150,關懷弱勢，提升台電企業形象
37,75,aa,aa,aa,萬里區,新北市萬里區野柳社區發展協會,aa,協助新北市萬里區野柳社區發展協會辦理一○二年度「會員教育訓練及社區觀摩活動」,aa,aa,aa,aa,aa,160,配合宣導電力開發，提升台電企業形象
