項次,單位代號,核准日期,預算科目/名稱,關注民代,補助縣市鄉鎮區,申請補(捐)助單位,統一編號,活動名稱,活動時間(起),活動時間(迄),活動地點,"活動總經額 (千元)","申請補助金額 (千元)","核准補助金額 (千元)",核准理由
1,75,aa,aa,aa,龍井區,臺中市龍井區公所,aa,協助臺中市龍井區公所102年度發電年度協助金(第一次撥付),aa,aa,aa,aa,aa,80000,促進電力開發，協助公共建設及增進地方福祉
2,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理萬里區風貌營造計畫─港區漁村聚落生活道路改善,aa,aa,aa,aa,aa,8183,促進電力開發，增進地方建設
3,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理萬里區風貌營造計畫─萬里國小圍牆及人行道空間改善,aa,aa,aa,aa,aa,8183,促進電力開發，增進地方建設
4,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理金山區風貌營造計畫─金山區公所綠美化,aa,aa,aa,aa,aa,4505,促進電力開發，增進地方建設
5,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理金山區風貌營造計畫—金山國小綠美化,aa,aa,aa,aa,aa,3584,促進電力開發，增進地方建設
6,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理金山區風貌營造計畫—金美國小綠美化,aa,aa,aa,aa,aa,18779,促進電力開發，增進地方建設
7,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理金山區風貌營造計畫—美田社區活動中心綠美化,aa,aa,aa,aa,aa,4292,促進電力開發，增進地方建設
8,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理金山區風貌營造計畫—社區休憩步道營造,aa,aa,aa,aa,aa,6546,促進電力開發，增進地方建設
9,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理石門區風貌營造計畫—老梅國小校門開放空間改善,aa,aa,aa,aa,aa,5708,促進電力開發，增進地方建設
10,75,aa,aa,aa,新北市,核能發電處,aa,協助核能發電處辦理石門區風貌營造計畫—十八王公入口空間改善,aa,aa,aa,aa,aa,3584,促進電力開發，增進地方建設
