code,village,area,city,201605,201604,201603,201602,201601,201512,201511,201510,201509,201508,201507,201506,201505,201504,201503,201502,201501,201412,201411,201410,201409,201408,201407,201406,201405,201404
65000230-010,下罟里,八里區,新北市,540184,0,527831,1633,507150,0,605621,0,790456,0,662459,0,518741,0,517418,0,497609,40,697084,0,856278,0,605559,0,524849,0
65000230-003,大崁里,八里區,新北市,33356,1240147,22454,1085428,20819,1162590,32579,1583329,49047,1927647,61622,1211352,31297,1131727,22164,1120930,20087,1125654,30791,1816337,51621,1730872,41147,1194399,2703,1114324
65000230-002,米倉里,八里區,新北市,14090,1391138,13137,1176902,13578,1191536,13955,1644186,15868,2049006,17966,1303630,14647,1297801,13523,1241743,3475,1149170,2051,1847377,2494,1886105,1971,1325161,3350,1171797
65000230-009,長坑里,八里區,新北市,598317,4745,601937,7035,539010,7871,628512,8417,760117,9310,707012,7103,567384,5077,580202,7847,553140,8824,707217,9001,850356,9566,619299,8316,544885,5807
65000230-008,荖阡里,八里區,新北市,717168,0,680324,0,648368,0,753220,0,910942,0,893476,0,640986,0,591775,0,626344,0,789030,0,1041549,0,754641,61,618327,0
65000230-007,訊塘里,八里區,新北市,1291524,2364,1302985,2002,1144213,2902,1360064,3690,1915422,3641,1805690,358,1176549,282,1166182,287,1165130,66,1519983,236,2195950,4308,1586794,521,1170846,375
65000230-004,埤頭里,八里區,新北市,13272,1063577,9026,920756,9101,989240,14880,1343410,13138,1669087,14046,1038166,9237,982571,8027,982619,8559,968647,9882,1589181,14753,1537504,11201,1033111,8940,1002103
65000230-005,頂罟里,八里區,新北市,347747,238875,324252,210295,317313,210056,344789,299835,432520,368458,478646,231186,329591,209359,290916,210812,341896,202673,360715,331674,530685,332434,415542,222726,320357,198372
65000230-001,龍源里,八里區,新北市,1958,2476971,0,2706316,289,2288969,0,3222520,0,4421399,0,2847223,0,2512219,0,2564617,0,2293891,0,3804109,0,4353740,0,2752670,0,2317203
65000230-006,舊城里,八里區,新北市,1920780,31190,1892654,26304,1691273,21570,2005879,32251,2838534,40234,2903823,31321,1799661,36822,1748134,32372,1785723,32477,2128413,40222,3423355,44415,2506147,36705,1755036,33795
65000210-001,八賢里,三芝區,新北市,63903,0,68248,0,61762,0,64490,0,79173,0,78716,0,64394,0,64787,0,65437,0,66742,0,89671,0,77317,0,62961,0
65000210-003,古庄里,三芝區,新北市,401180,0,417409,0,366062,0,375787,0,479074,0,466033,0,358589,0,358962,0,360356,239,364578,0,532381,0,422930,301,335772,0
65000210-009,後厝里,三芝區,新北市,7982,946924,7083,1068055,6480,833392,3738,1021067,4351,1318446,4425,904576,3823,922862,3963,912538,3826,791813,4223,1096274,6013,1292939,4480,905420,3230,795188
65000210-006,茂長里,三芝區,新北市,98993,158626,80646,181227,80401,135425,87875,163809,103888,199601,105868,155424,87911,170677,76435,153272,76573,126521,88895,163199,119576,178604,102042,137383,82802,120186
65000210-005,埔坪里,三芝區,新北市,851769,1280071,864348,1439119,777905,1174983,842507,1466522,1088922,1947566,1065815,1379599,814091,1319253,817526,1298293,793974,1183127,898651,1615013,1231389,1919821,937395,1320602,768445,1166196
65000210-002,埔頭里,三芝區,新北市,1637043,12997,1637671,9969,1512746,12223,1588882,9893,2044363,9700,2059210,7087,1506763,6800,1494168,5964,1519376,6162,1626518,7666,2387935,7560,1787431,5781,1454767,5262
65000210-011,圓山里,三芝區,新北市,95911,55383,96239,65070,85690,53774,87500,61666,95871,59664,98044,52781,94312,60015,85082,62891,88837,52360,87173,60943,96710,66077,79671,58245,82076,57241
65000210-004,新庄里,三芝區,新北市,75120,179801,75435,199047,67312,175742,69182,222473,85038,268576,83676,186742,69119,188445,63892,177430,63729,161374,62208,230121,88364,242578,73225,176738,60567,155951
65000210-010,福德里,三芝區,新北市,263229,30296,298126,22873,250661,22236,245739,30639,288262,24250,297581,21681,246230,25308,268790,23638,260027,22676,236516,31867,315465,36114,269585,25081,234431,25128
65000210-007,橫山里,三芝區,新北市,143178,4202,146398,4572,139208,3911,146110,4739,154758,5355,163752,4285,143598,4112,138312,3835,132673,3887,135101,4701,164807,5181,142742,4616,128809,3593
65000210-013,興華里,三芝區,新北市,13310,509934,11048,453844,11692,399074,12601,484521,13804,526818,15119,430045,14453,476856,12943,497047,14159,400633,13525,497659,17556,508681,13755,446604,11733,429064
65000210-008,錫板里,三芝區,新北市,6967,93089,7020,102228,5995,87231,6825,107924,11102,140444,6658,101002,4383,95704,4523,88199,4326,83293,4720,115367,7156,131526,5898,98537,3971,80728
65000020-002,二重里,三重區,新北市,7551,309284,6251,269837,7389,290619,9102,434586,11587,564365,9613,351821,7452,307709,6221,288278,6664,306522,9713,489574,11760,529800,10087,351754,7737,283394
65000020-019,三民里,三重區,新北市,7851,829090,7380,901804,8947,869293,10586,1295053,12116,1757634,11187,1035369,8261,880197,2408,860299,1867,830598,3745,1536695,4895,1687138,2597,1006552,1361,827542
65000020-072,三安里,三重區,新北市,944758,24892,914011,23353,867036,26422,1144813,29237,1605570,33486,1249491,27198,896469,23312,882382,22614,845558,21675,1388979,27618,1704773,25692,1117025,17359,860241,16983
65000020-028,大同里,三重區,新北市,215097,702714,194269,637829,186647,760498,227557,1054834,319539,1311008,334340,752653,202486,658268,180006,653993,192244,722973,241498,1263409,395209,1183151,289064,741207,197586,695732
65000020-031,大安里,三重區,新北市,2994,406930,2221,354966,2648,453260,3944,589200,5606,765950,6333,433719,2771,387836,2169,375959,2759,424823,4528,760928,7954,698467,6160,421137,2816,403241
65000020-001,大有里,三重區,新北市,14120,1455157,8640,1384637,9840,1364105,10600,2040142,12080,2701084,13200,1662178,12040,1433500,10520,1371011,9520,1366021,11480,2415271,12920,2491551,11600,1636238,10960,1312072
65000020-042,大園里,三重區,新北市,690179,0,617233,0,606319,0,737848,0,1078072,0,1108519,0,645823,0,579793,0,624896,0,807677,0,1291801,0,923984,0,647406,0
65000020-060,大德里,三重區,新北市,394229,0,367067,0,326552,0,384837,0,522481,0,519326,0,300359,0,269411,0,286227,0,368442,0,570237,0,400794,0,273781,0
65000020-041,中山里,三重區,新北市,716903,178570,653416,156203,632474,183375,746041,267001,1081845,324325,1105594,197133,659959,170883,603946,164747,645087,172647,827845,310415,1306476,307048,930838,199874,644309,155509
65000020-052,中央里,三重區,新北市,589285,0,560022,0,539372,0,715198,0,1003820,0,951886,0,562584,0,534805,0,553215,0,812532,708,1124738,3380,817390,2223,567072,1856
65000020-026,中正里,三重區,新北市,98580,838493,87333,849514,85731,900356,99630,1336232,130452,1722359,134734,1026145,93869,844588,84219,837430,86357,854555,105013,1556089,146642,1580826,123405,957017,92912,826514
65000020-029,中民里,三重區,新北市,103,303433,119,273024,107,331898,106,461211,99,587074,103,332954,110,297936,150,294870,122,322803,189,567394,111,518863,107,321823,140,312995
65000020-005,中興里,三重區,新北市,1634188,37477,1592104,37433,1528532,49301,1989135,57010,2656860,65850,2340610,54227,1600263,35634,1614232,37605,1527043,41594,2275094,68547,2853136,74110,1968971,55985,1633320,39393
65000020-109,五谷里,三重區,新北市,593955,16818,550082,14718,553889,10377,668890,12120,914773,12440,789263,9720,548111,9360,545779,9432,514887,517,797431,0,998771,6,638990,0,541070,0
65000020-095,五常里,三重區,新北市,5420,1010959,4150,893271,4878,1001133,4886,1510771,7213,1948369,10823,1133290,9067,995896,6767,950722,6696,1013802,7512,1821665,7688,1791734,7680,1154128,3396,935190
65000020-119,五順里,三重區,新北市,2209,827703,1810,736534,1675,827555,1615,1241021,2162,1624955,3255,916526,1581,784206,1197,769453,1214,808253,1543,1493886,3750,1485187,1252,926550,871,741546
65000020-096,五福里,三重區,新北市,87,1129891,98,959363,57,1126807,56,1599106,44,2032291,44,1149534,46,1047789,45,1011840,47,1054078,124,1935052,3923,1855009,3360,1161899,3640,1008696
65000020-097,仁忠里,三重區,新北市,1095,719077,1018,633163,1092,724127,1043,1092978,974,1401947,1032,791904,1092,694376,1035,669492,1128,692927,1123,1293722,1113,1272859,1044,817901,1166,645225
65000020-118,仁華里,三重區,新北市,256,1239230,227,1077890,215,1182502,250,1733754,277,2321337,240,1366384,263,1151871,264,1105451,262,1152432,325,1962985,291,2126540,252,1319169,255,1069169
65000020-034,仁義里,三重區,新北市,350655,126617,322470,113035,307287,130749,366867,196135,495191,251097,570177,144386,340342,123171,296542,114062,317949,127421,359688,233552,629166,231680,473350,145307,324831,114841
65000020-032,仁德里,三重區,新北市,607106,12731,533469,10469,530338,0,668897,0,872575,0,942747,0,584335,0,497754,0,545425,0,658682,0,1067940,0,809763,0,570185,0
65000020-065,介壽里,三重區,新北市,401028,0,391065,0,367977,0,472284,64,674003,0,632440,0,376775,0,362711,0,378999,0,542455,296,746978,0,535430,0,385638,0
65000020-077,六合里,三重區,新北市,4471,1005770,3852,1097486,4344,1036414,5003,1517508,5740,2074677,7038,1372933,4708,1074542,4232,1014002,4315,1045451,5471,1725250,7597,2050524,5926,1289597,4832,971930
65000020-078,六福里,三重區,新北市,6480,815184,3760,882234,4520,861583,6240,1272887,9360,1689544,10640,1021548,5600,863189,4760,835179,5040,806740,6240,1487337,10280,1656908,6434,1025414,1800,830720
65000020-051,文化里,三重區,新北市,932142,3382,873444,3247,870787,2729,1132191,2924,1577190,3412,1484474,2709,893155,2511,830360,2272,872608,2528,1275956,3232,1725480,3365,1278813,3080,898146,2652
65000020-030,平和里,三重區,新北市,422,403869,413,347625,437,441835,458,577142,540,737000,533,426442,517,381429,545,369173,625,412676,394,716407,391,657846,345,407886,372,394359
65000020-049,正安里,三重區,新北市,629302,10682,586212,10213,581372,12202,793063,13776,1096932,14760,970542,12946,582363,9674,600837,11919,600313,7911,915970,9773,1180473,4940,758526,0,602940,0
65000020-048,正義里,三重區,新北市,759018,9400,677274,6327,674717,9520,860550,12480,1181790,12080,1226409,10960,707685,9720,641050,6960,680593,8360,897288,12240,1437297,14600,1021991,11200,710991,8920
65000020-047,正德里,三重區,新北市,440943,0,394050,0,396306,0,505629,0,670635,0,692911,0,421733,0,368040,0,390088,0,525024,0,808946,0,566390,0,402730,0
65000020-045,民生里,三重區,新北市,1079833,10763,1013641,9481,950379,9528,1215295,15183,1734377,21681,1794897,11820,1005514,10206,949891,9669,991415,9492,1230754,18999,2083939,20236,1559783,11733,1024291,9500
65000020-091,永安里,三重區,新北市,7280,874029,4600,967989,5720,886945,6160,1338946,7920,1874963,59301,1202563,5860,934416,5800,883886,6280,900408,7040,1537062,8640,1862068,8040,1139603,6920,850951
65000020-025,永春里,三重區,新北市,3532,512237,2888,466143,3268,547990,3400,825469,4048,1020179,4012,556496,2912,476969,3083,487964,2961,517134,3176,976866,2554,908241,2034,541081,2014,499043
65000020-090,永清里,三重區,新北市,42108,1003085,29746,1105822,34444,1075181,42408,1550794,50589,2074684,53320,1280140,39280,1067551,36040,1036532,37000,1016557,39760,1839295,53160,2012178,44720,1283985,38000,993958
65000020-088,永盛里,三重區,新北市,8637,702288,5447,774157,6374,745826,9523,1104189,11428,1512150,5889,985113,3708,763519,2471,719947,2616,755394,5802,1307295,7736,1471431,5123,932446,3459,696068
65000020-113,永發里,三重區,新北市,17909,1209541,14779,1343583,9368,1217272,12482,1811430,17035,2506337,13878,1561776,6878,1267678,6555,1255430,6529,1214148,9791,2141468,12495,2344196,8236,1481004,6402,1151253
65000020-114,永順里,三重區,新北市,0,886533,0,981648,153,939021,0,1332781,0,1848097,0,1182337,0,943677,0,902243,0,910720,0,1621039,0,1793511,0,1121797,0,869822
65000020-092,永煇里,三重區,新北市,2617,566098,1921,602783,0,558914,0,830371,0,1175613,0,748404,0,582623,0,557914,0,538468,0,974242,0,1180939,0,736488,0,539769
65000020-089,永福里,三重區,新北市,5540,1164971,4137,1283798,4552,1199552,4459,1747933,4545,2423874,3969,1580019,2016,1235614,1458,1171144,0,1194114,0,2092499,0,2330466,532,1476573,0,1113187
65000020-087,永德里,三重區,新北市,139787,892432,132668,963010,121679,918170,167163,1338968,242683,1859197,211866,1201754,124302,927477,134864,885786,128578,888604,201883,1527833,266359,1812493,168946,1127710,135816,839228
65000020-040,永興里,三重區,新北市,552039,16944,514170,13817,479463,10312,566700,9423,803863,15567,824600,17170,514858,18063,458974,19507,474330,19860,546925,16520,929683,20072,700962,19918,474793,17428
65000020-115,永豐里,三重區,新北市,8263,1107836,3609,1213796,3902,1145578,4447,1668182,5555,2309444,6156,1504966,5193,1184446,4048,1116899,4166,1143169,5101,1986737,6164,2245988,5375,1425379,4458,1061691
65000020-017,田中里,三重區,新北市,8320,1282397,7040,1406931,8500,1373522,12179,2080361,14148,2862770,14783,1691565,10654,1384661,9950,1339454,10345,1277230,11147,2464549,14336,2740502,8280,1697855,7280,1267131
65000020-015,田心里,三重區,新北市,6960,1046653,6920,893500,7000,943183,0,1463546,0,1952820,0,1150756,0,987823,0,934978,0,936961,0,1694331,0,1859461,0,1160657,0,899740
65000020-021,光正里,三重區,新北市,0,806571,0,712615,0,780989,0,1100548,0,1416968,0,820846,0,735053,0,749581,0,716031,0,1334686,0,1243578,0,790978,0,760231
65000020-013,光田里,三重區,新北市,62016,1208823,48599,1085796,55932,1224205,62434,1851626,80115,2409388,82684,1313923,52833,1213735,47366,1173007,53760,1160572,56800,2230972,65320,2210851,59440,1338336,51360,1130811
65000020-020,光明里,三重區,新北市,11555,2221373,9515,2017791,9033,2449307,12308,3511734,14633,4291227,16084,2456034,13065,2081966,10314,2159794,8202,2256407,10321,4214896,12265,3943149,8956,2451224,0,2179248
65000020-057,光華里,三重區,新北市,643876,1120,574629,920,556299,1360,710178,2040,1035107,2320,978193,1800,597387,0,536904,95,560226,0,763466,0,1198962,0,824638,0,563756,0
