COUN_ID,COUN_NA,TOWN_ID,TOWN_NA,CODE3,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
10010,嘉義縣,1001001,太保市,A100100101,281835.15,282031.10,291420.89,262923.28,314153.42,342443.90,366705.31,373722.47,324553.90,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100102,519129.25,473969.63,519787.87,533344.03,612681.11,671404.91,743277.48,702642.15,627285.81,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100103,908857.88,812519.28,937287.16,981176.29,1120907.29,1218551.35,1366937.18,1313712.19,1203514.79,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100104,650775.79,597719.23,672783.57,674986.79,794152.42,856816.41,931527.82,919279.48,807650.52,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100105,661678.92,592290.76,661807.80,653371.21,715240.11,801459.57,864144.09,835527.41,763793.46,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100106,515650.89,475308.65,528331.63,519574.00,552638.09,639865.27,690910.99,642458.02,594109.05,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100107,823593.94,750707.47,835731.88,804612.83,930389.47,985627.17,1056519.66,1074866.83,988208.47,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100108,633389.79,574313.19,623269.09,609427.93,761330.67,835254.17,870353.40,868403.04,778198.88,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100109,472301.69,426854.66,460283.86,468536.00,542512.86,574594.67,653141.52,625334.96,552555.38,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100110,528147.95,460480.91,527196.45,519340.65,654964.88,716489.12,733447.55,741651.15,665754.32,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100111,20093.59,17865.44,19193.72,17416.83,18142.00,18983.40,21823.00,21551.40,19753.73,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100112,1170491.35,1065777.36,1186694.32,1190318.18,1465638.64,1549002.06,1665683.40,1639344.17,1396348.45,NULL,NULL,NULL
10010,嘉義縣,1001001,太保市,A100100113,802939.84,667009.60,756691.71,775942.47,911826.21,1009478.47,1070356.22,1016564.07,923082.91,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100201,354205.20,352923.76,395655.52,382613.25,429891.84,509879.47,531407.21,482138.77,432488.92,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100202,3064.20,3408.64,4130.19,2996.27,3173.52,4065.79,4262.21,4153.80,3146.51,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100203,352074.77,306440.91,373363.27,371135.12,462988.00,465851.64,533551.31,517679.74,429487.58,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100204,325879.36,298307.00,327488.67,332812.89,399932.67,460822.97,488326.66,474048.18,414001.15,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100205,834677.56,761942.49,840430.75,849627.34,1066278.98,1155939.48,1215017.81,1200385.62,1047723.49,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100206,378273.01,338314.17,367516.95,364005.26,452806.48,486153.03,519115.29,517749.95,436753.24,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100207,716608.89,670065.42,750606.92,805288.62,930247.87,1100317.65,1134498.52,1088100.29,1010191.03,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100208,631307.05,574478.77,636011.35,649046.93,820838.31,823061.23,990712.66,988155.61,826283.62,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100209,409907.46,366631.46,395172.96,388287.01,500546.40,539883.96,597206.15,590174.85,489652.35,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100210,734722.26,670540.95,749302.25,794505.08,937441.36,1105201.01,1142411.38,1116456.71,1016095.03,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100211,513538.03,477362.68,518386.95,507368.15,596513.55,645710.68,687879.33,679774.28,607719.08,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100212,574175.45,546764.13,633621.09,629209.20,750585.27,806888.98,860634.25,853911.28,730936.72,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100213,575684.34,520126.72,574675.34,613260.50,720471.11,848853.17,861999.77,866224.19,812765.81,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100214,600455.39,616352.89,666412.02,631131.29,757371.60,879741.35,932080.58,912909.30,828655.19,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100215,1316737.82,1227128.22,1282184.05,1218426.98,1346880.39,1406357.99,1463550.68,1397992.17,1342613.36,NULL,NULL,NULL
10010,嘉義縣,1001002,朴子市,A100100216,431064.67,372406.64,380759.20,367357.47,530695.23,672670.57,606448.72,541848.04,476948.08,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100301,235142.34,216175.99,236225.12,230335.86,262677.56,287913.08,321004.08,324407.69,282075.15,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100302,475076.28,445172.40,514762.70,492607.76,566191.88,615699.57,648126.23,654849.09,608463.34,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100303,834640.13,824368.95,872784.32,846052.18,941986.90,1051133.12,1063661.64,1071077.00,1022594.29,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100304,792808.09,727849.96,848808.70,858272.95,981584.02,1128085.63,1187548.94,1235592.51,1123008.68,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100305,252015.06,233423.15,262979.16,273730.53,338743.05,380056.67,406371.25,407340.06,373328.66,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100306,399205.91,369204.81,418449.88,430467.74,502905.26,624211.37,646300.47,637537.45,573738.95,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100307,504107.59,454015.70,498856.60,515892.70,640028.76,673673.41,798579.63,813089.36,711576.31,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100308,490802.01,444856.97,516064.68,534872.17,642801.70,705449.65,745014.75,745865.53,674097.22,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100309,62.00,55.77,60.98,58.79,60.00,57.88,59.05,59.20,58.06,NULL,NULL,NULL
10010,嘉義縣,1001003,布袋鎮,A100100310,662855.17,589024.22,676941.03,719462.92,857180.02,947176.21,1063380.77,1071407.98,965296.73,NULL,NULL,NULL
